# # Cu                                                           FEFF 9.05   
# # POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-7.991E+00 kf=1.994E+00 Vint=-1.742E+01 Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01248    100.00     12.00     2   2.5323
#           2       0.01913     22.99      6.00     2   3.5812
#           3       0.01184     10.61     48.00     3   3.7984
#           4       0.01618      7.52     48.00     3   4.3229
#           5       0.01776     55.07     24.00     2   4.3860
#           6       0.01578     11.25     48.00     3   4.7253
#           7       0.01652     17.45     96.00     3   4.7253
#           8       0.02058     18.67     12.00     2   5.0645
#           9       0.01748      8.74     12.00     3   5.0646
#          10       0.02058     39.86     24.00     3   5.0645
#          11       0.01748      9.74     12.00     4   5.0646
#          12       0.04992      4.05     12.00     4   5.0646
#          14       0.02058     31.90     12.00     4   5.0645
#          16       0.02668     27.24     24.00     2   5.6623
#          17       0.02092      8.94     48.00     3   5.8879
#          18       0.02600      5.83     48.00     3   5.8879
#          19       0.02548      6.34     48.00     3   5.8879
#          20       0.01912      4.31     96.00     3   5.9914
#          21       0.01855      4.97     96.00     3   5.9914
#          22       0.01855      4.66     96.00     4   5.9914
#          23       0.01912      4.81     96.00     4   5.9914
#          25       0.02427      6.95      8.00     2   6.2028
#          26       0.02421      5.01     96.00     3   6.2903
#    23/  24 paths used
#  xsedge+50, used to normalize mu           2.4644E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9019.472     22.955   2.850  9.12288E-01  9.78556E-01 -6.87789E-02
    9020.567     24.051   2.900  9.18817E-01  9.79690E-01 -6.30568E-02
    9021.682     25.165   2.950  9.30815E-01  9.80824E-01 -5.17025E-02
    9022.815     26.299   3.000  9.46570E-01  9.81959E-01 -3.65160E-02
    9023.968     27.451   3.050  9.63985E-01  9.83025E-01 -1.95974E-02
    9025.139     28.623   3.100  9.82513E-01  9.84092E-01 -1.62055E-03
    9026.330     29.813   3.150  9.99835E-01  9.85158E-01  1.50313E-02
    9027.540     31.023   3.200  1.01382E+00  9.86224E-01  2.81943E-02
    9028.768     32.252   3.250  1.02637E+00  9.87489E-01  3.96187E-02
    9030.016     33.500   3.300  1.03419E+00  9.88753E-01  4.61831E-02
    9031.283     34.766   3.350  1.03633E+00  9.90017E-01  4.69503E-02
    9032.569     36.052   3.400  1.03267E+00  9.91281E-01  4.18544E-02
    9033.874     37.357   3.450  1.02641E+00  9.92630E-01  3.40689E-02
    9035.198     38.681   3.500  1.01577E+00  9.93978E-01  2.19273E-02
    9036.541     40.024   3.550  1.00224E+00  9.95327E-01  6.93819E-03
    9037.903     41.386   3.600  9.87662E-01  9.96675E-01 -9.02286E-03
    9039.284     42.767   3.650  9.74244E-01  9.98029E-01 -2.37544E-02
    9040.684     44.167   3.700  9.62708E-01  9.99382E-01 -3.65432E-02
    9042.103     45.587   3.750  9.54472E-01  1.00073E+00 -4.59932E-02
    9043.542     47.025   3.800  9.50430E-01  1.00209E+00 -5.12400E-02
    9044.999     48.482   3.850  9.50485E-01  1.00330E+00 -5.22882E-02
    9046.475     49.959   3.900  9.54516E-01  1.00452E+00 -4.94037E-02
    9047.971     51.454   3.950  9.61575E-01  1.00574E+00 -4.35448E-02
    9049.485     52.969   4.000  9.70341E-01  1.00695E+00 -3.60303E-02
    9051.019     54.502   4.050  9.79689E-01  1.00790E+00 -2.77170E-02
    9052.571     56.055   4.100  9.88216E-01  1.00884E+00 -2.02337E-02
    9054.143     57.626   4.150  9.95043E-01  1.00978E+00 -1.44375E-02
    9055.734     59.217   4.200  9.99866E-01  1.01072E+00 -1.06187E-02
    9057.343     60.827   4.250  1.00314E+00  1.01138E+00 -8.05486E-03
    9058.972     62.455   4.300  1.00546E+00  1.01204E+00 -6.42916E-03
    9060.620     64.103   4.350  1.00790E+00  1.01270E+00 -4.68680E-03
    9062.287     65.770   4.400  1.01159E+00  1.01336E+00 -1.72406E-03
    9063.973     67.456   4.450  1.01698E+00  1.01359E+00  3.30076E-03
    9065.678     69.161   4.500  1.02463E+00  1.01382E+00  1.05348E-02
    9067.402     70.885   4.550  1.03436E+00  1.01405E+00  1.97812E-02
    9069.145     72.628   4.600  1.04540E+00  1.01429E+00  3.02957E-02
    9070.907     74.390   4.650  1.05566E+00  1.01411E+00  4.04623E-02
    9072.688     76.171   4.700  1.06444E+00  1.01393E+00  4.91965E-02
    9074.488     77.972   4.750  1.07053E+00  1.01374E+00  5.53039E-02
    9076.308     79.791   4.800  1.07302E+00  1.01356E+00  5.79053E-02
    9078.146     81.629   4.850  1.07100E+00  1.01319E+00  5.63278E-02
    9080.003     83.487   4.900  1.06529E+00  1.01282E+00  5.11560E-02
    9081.880     85.363   4.950  1.05654E+00  1.01245E+00  4.30038E-02
    9083.775     87.258   5.000  1.04565E+00  1.01208E+00  3.27581E-02
    9085.690     89.173   5.050  1.03330E+00  1.01138E+00  2.14108E-02
    9087.623     91.106   5.100  1.02083E+00  1.01067E+00  9.92747E-03
    9089.576     93.059   5.150  1.00883E+00  1.00996E+00 -1.10640E-03
    9091.547     95.031   5.200  9.97626E-01  1.00926E+00 -1.13809E-02
    9093.538     97.021   5.250  9.87211E-01  1.00840E+00 -2.07480E-02
    9095.548     99.031   5.300  9.77620E-01  1.00755E+00 -2.93195E-02
    9097.577    101.060   5.350  9.68828E-01  1.00669E+00 -3.71195E-02
    9099.625    103.108   5.400  9.60957E-01  1.00583E+00 -4.40245E-02
    9101.692    105.175   5.450  9.54611E-01  1.00514E+00 -4.96035E-02
    9103.777    107.261   5.500  9.50016E-01  1.00445E+00 -5.34686E-02
    9105.883    109.366   5.550  9.47721E-01  1.00375E+00 -5.50784E-02
    9108.007    111.490   5.600  9.48180E-01  1.00306E+00 -5.39817E-02
    9110.150    113.633   5.650  9.51740E-01  1.00239E+00 -4.98511E-02
    9112.312    115.795   5.700  9.58110E-01  1.00172E+00 -4.29478E-02
    9114.493    117.976   5.750  9.66794E-01  1.00106E+00 -3.37575E-02
    9116.693    120.177   5.800  9.77014E-01  1.00039E+00 -2.30442E-02
