# # YBCO:                                                        FEFF 9.05   
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 0.932 Rnm= 1.111 K  shell
# # Pot 1 Z= 8 Rmt= 0.850 Rnm= 0.951
# # Pot 2 Z=39 Rmt= 1.308 Rnm= 1.376
# # Pot 3 Z=29 Rmt= 1.301 Rnm= 1.309
# # Pot 4 Z=56 Rmt= 1.330 Rnm= 1.486
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-9.329E+00 kf=2.499E+00 Vint=-3.312E+01 Rs_int= 1.451
# # PATH  Rmax= 4.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.8596
#           2       0.00000     90.91      2.00     2   1.9406
#           3       0.00000     33.98      8.00     3   3.2441
#           4       0.00000     56.88      8.00     2   3.4612
#           5       0.00000     25.13      2.00     3   3.7193
#           6       0.00000     21.50      2.00     4   3.7193
#           7       0.00000     13.27      2.00     4   3.7193
#           8       0.00000     10.57      8.00     4   3.8003
#           9       0.00000      9.99      2.00     2   3.8120
#          10       0.00000      9.54      2.00     2   3.8813
#          11       0.00000     21.13      2.00     3   3.8813
#          12       0.00000     29.71      4.00     3   3.8813
#          13       0.00000     17.41      2.00     4   3.8813
#          14       0.00000      9.77      2.00     4   3.8813
#          15       0.00000     28.21      2.00     4   3.8813
#          16       0.00000     21.43     16.00     3   4.0277
#          17       0.00000      8.14      2.00     2   4.1273
#          18       0.00000     24.89      4.00     3   4.1273
#          19       0.00000     22.85      2.00     4   4.1273
#          20       0.00000     15.56     16.00     3   4.1340
#          21       0.00000     31.49      4.00     2   4.2414
#          22       0.00000     30.83      4.00     2   4.2775
#          23       0.00000     30.36      4.00     2   4.3038
#          24       0.00000     38.02      8.00     3   4.4661
#    24/  24 paths used
#  xsedge+50, used to normalize mu           2.4454E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9031.710     18.445   2.700  1.22165E+00  1.07862E+00  1.30057E-01
    9032.748     19.484   2.750  1.22842E+00  1.07397E+00  1.41227E-01
    9033.806     20.541   2.800  1.23922E+00  1.06931E+00  1.56223E-01
    9034.882     21.617   2.850  1.25740E+00  1.06673E+00  1.76327E-01
    9035.977     22.713   2.900  1.27242E+00  1.06414E+00  1.93722E-01
    9037.092     23.827   2.950  1.28165E+00  1.06155E+00  2.05896E-01
    9038.225     24.960   3.000  1.28322E+00  1.05897E+00  2.11012E-01
    9039.378     26.113   3.050  1.27459E+00  1.05540E+00  2.07452E-01
    9040.549     27.285   3.100  1.25917E+00  1.05183E+00  1.97379E-01
    9041.740     28.475   3.150  1.23754E+00  1.04825E+00  1.81244E-01
    9042.950     29.685   3.200  1.21072E+00  1.04468E+00  1.59920E-01
    9044.178     30.914   3.250  1.17915E+00  1.04031E+00  1.34419E-01
    9045.426     32.161   3.300  1.14483E+00  1.03593E+00  1.05974E-01
    9046.693     33.428   3.350  1.10915E+00  1.03156E+00  7.58974E-02
    9047.979     34.714   3.400  1.07348E+00  1.02718E+00  4.55260E-02
    9049.284     36.019   3.450  1.03876E+00  1.02336E+00  1.52027E-02
    9050.608     37.343   3.500  1.00656E+00  1.01953E+00 -1.28572E-02
    9051.951     38.686   3.550  9.77980E-01  1.01571E+00 -3.75325E-02
    9053.313     40.048   3.600  9.53781E-01  1.01189E+00 -5.80279E-02
    9054.694     41.429   3.650  9.34839E-01  1.00871E+00 -7.39926E-02
    9056.094     42.829   3.700  9.20920E-01  1.00553E+00 -8.50053E-02
    9057.513     44.249   3.750  9.11650E-01  1.00235E+00 -9.14003E-02
    9058.951     45.687   3.800  9.06343E-01  9.99172E-01 -9.38284E-02
    9060.409     47.144   3.850  9.04953E-01  9.96349E-01 -9.26026E-02
    9061.885     48.620   3.900  9.05487E-01  9.93527E-01 -8.94173E-02
    9063.381     50.116   3.950  9.06773E-01  9.90705E-01 -8.54499E-02
    9064.895     51.630   4.000  9.07840E-01  9.87882E-01 -8.16878E-02
    9066.429     53.164   4.050  9.08793E-01  9.85650E-01 -7.85834E-02
    9067.981     54.716   4.100  9.07928E-01  9.83417E-01 -7.73307E-02
    9069.553     56.288   4.150  9.05139E-01  9.81185E-01 -7.80467E-02
    9071.143     57.879   4.200  9.00704E-01  9.78953E-01 -8.04591E-02
    9072.753     59.488   4.250  8.95519E-01  9.77362E-01 -8.42561E-02
    9074.382     61.117   4.300  8.89910E-01  9.75772E-01 -8.84982E-02
    9076.030     62.765   4.350  8.84923E-01  9.74181E-01 -9.21101E-02
    9077.697     64.432   4.400  8.81612E-01  9.72591E-01 -9.39989E-02
    9079.382     66.118   4.450  8.81415E-01  9.71575E-01 -9.31983E-02
    9081.087     67.823   4.500  8.84704E-01  9.70559E-01 -8.87928E-02
    9082.811     69.547   4.550  8.91882E-01  9.69543E-01 -8.03583E-02
    9084.555     71.290   4.600  9.02958E-01  9.68527E-01 -6.78802E-02
    9086.317     73.052   4.650  9.18665E-01  9.68142E-01 -5.12141E-02
    9088.098     74.833   4.700  9.37263E-01  9.67757E-01 -3.15603E-02
    9089.898     76.633   4.750  9.57660E-01  9.67371E-01 -1.00493E-02
    9091.717     78.453   4.800  9.78607E-01  9.66986E-01  1.20241E-02
    9093.556     80.291   4.850  1.00008E+00  9.67137E-01  3.40637E-02
    9095.413     82.148   4.900  1.01940E+00  9.67288E-01  5.38399E-02
    9097.289     84.025   4.950  1.03541E+00  9.67439E-01  7.01657E-02
    9099.185     85.920   5.000  1.04728E+00  9.67591E-01  8.21978E-02
    9101.099     87.835   5.050  1.05564E+00  9.68261E-01  9.00135E-02
    9103.033     89.768   5.100  1.05908E+00  9.68932E-01  9.27525E-02
    9104.986     91.721   5.150  1.05790E+00  9.69602E-01  9.07256E-02
    9106.957     93.693   5.200  1.05271E+00  9.70273E-01  8.45996E-02
    9108.948     95.683   5.250  1.04516E+00  9.71389E-01  7.55776E-02
    9110.958     97.693   5.300  1.03524E+00  9.72504E-01  6.41740E-02
    9112.987     99.722   5.350  1.02403E+00  9.73620E-01  5.14794E-02
    9115.034    101.770   5.400  1.01250E+00  9.74735E-01  3.85032E-02
    9117.101    103.837   5.450  1.00169E+00  9.76156E-01  2.59799E-02
    9119.187    105.923   5.500  9.91798E-01  9.77577E-01  1.44408E-02
    9121.292    108.028   5.550  9.83206E-01  9.78998E-01  4.26462E-03
    9123.416    110.152   5.600  9.76068E-01  9.80419E-01 -4.40094E-03
    9125.560    112.295   5.650  9.70276E-01  9.82049E-01 -1.18832E-02
    9127.722    114.457   5.700  9.65614E-01  9.83679E-01 -1.81944E-02
    9129.903    116.638   5.750  9.61917E-01  9.85309E-01 -2.35084E-02
    9132.103    118.838   5.800  9.59057E-01  9.86938E-01 -2.79608E-02
    9134.322    121.058   5.850  9.56733E-01  9.88685E-01 -3.19743E-02
    9136.561    123.296   5.900  9.55141E-01  9.90431E-01 -3.52389E-02
    9138.818    125.554   5.950  9.54481E-01  9.92178E-01 -3.75610E-02
    9141.095    127.830   6.000  9.55021E-01  9.93924E-01 -3.86798E-02
    9143.390    130.126   6.050  9.56246E-01  9.95409E-01 -3.88677E-02
    9145.705    132.440   6.100  9.59065E-01  9.96894E-01 -3.74764E-02
    9148.038    134.774   6.150  9.63632E-01  9.98379E-01 -3.43606E-02
    9150.391    137.126   6.200  9.69910E-01  9.99864E-01 -2.95681E-02
    9152.763    139.498   6.250  9.77633E-01  1.00135E+00 -2.33684E-02
    9155.154    141.889   6.300  9.86324E-01  1.00283E+00 -1.62389E-02
    9157.563    144.299   6.350  9.95345E-01  1.00432E+00 -8.81072E-03
    9159.992    146.728   6.400  1.00399E+00  1.00580E+00 -1.78013E-03
    9162.440    149.175   6.450  1.01158E+00  1.00729E+00  4.19860E-03
    9164.907    151.642   6.500  1.01760E+00  1.00877E+00  8.62139E-03
    9167.393    154.128   6.550  1.02058E+00  1.00938E+00  1.09304E-02
    9169.898    156.634   6.600  1.02180E+00  1.00998E+00  1.15209E-02
    9172.422    159.158   6.650  1.02160E+00  1.01059E+00  1.07326E-02
    9174.965    161.701   6.700  1.02062E+00  1.01119E+00  9.18293E-03
    9177.528    164.263   6.750  1.01969E+00  1.01180E+00  7.68251E-03
    9180.109    166.844   6.800  1.01971E+00  1.01240E+00  7.10713E-03
    9182.709    169.445   6.850  1.02149E+00  1.01301E+00  8.24690E-03
    9185.329    172.064   6.900  1.02561E+00  1.01361E+00  1.16550E-02
    9187.967    174.702   6.950  1.03226E+00  1.01422E+00  1.75219E-02
    9190.625    177.360   7.000  1.04120E+00  1.01482E+00  2.55965E-02
    9193.301    180.036   7.050  1.05040E+00  1.01414E+00  3.52224E-02
    9195.997    182.732   7.100  1.06009E+00  1.01346E+00  4.53376E-02
    9198.711    185.447   7.150  1.06885E+00  1.01278E+00  5.45638E-02
    9201.445    188.180   7.200  1.07514E+00  1.01210E+00  6.14037E-02
    9204.198    190.933   7.250  1.07752E+00  1.01142E+00  6.44455E-02
    9206.969    193.705   7.300  1.07486E+00  1.01073E+00  6.25739E-02
    9209.760    196.495   7.350  1.06653E+00  1.01005E+00  5.51553E-02
    9212.570    199.305   7.400  1.05251E+00  1.00937E+00  4.21695E-02
    9215.399    202.134   7.450  1.03349E+00  1.00869E+00  2.42647E-02
    9218.247    204.982   7.500  1.01079E+00  1.00801E+00  2.72444E-03
    9221.114    207.849   7.550  9.85495E-01  1.00626E+00 -2.03820E-02
    9224.000    210.735   7.600  9.60540E-01  1.00451E+00 -4.32532E-02
    9226.905    213.640   7.650  9.38106E-01  1.00277E+00 -6.37394E-02
    9229.829    216.565   7.700  9.20172E-01  1.00102E+00 -7.98691E-02
    9232.772    219.508   7.750  9.08273E-01  9.99275E-01 -9.00946E-02
    9235.735    222.470   7.800  9.03304E-01  9.97529E-01 -9.34884E-02
    9238.716    225.451   7.850  9.05408E-01  9.95782E-01 -8.98637E-02
    9241.716    228.452   7.900  9.13957E-01  9.94035E-01 -7.98016E-02
    9244.736    231.471   7.950  9.27628E-01  9.92289E-01 -6.45781E-02
    9247.774    234.510   8.000  9.44583E-01  9.90542E-01 -4.60021E-02
    9250.832    237.567   8.050  9.62191E-01  9.88337E-01 -2.62416E-02
    9253.908    240.644   8.100  9.78788E-01  9.86132E-01 -7.39033E-03
    9257.004    243.739   8.150  9.92515E-01  9.83927E-01  8.66738E-03
    9260.119    246.854   8.200  1.00199E+00  9.81721E-01  2.05084E-02
    9263.252    249.988   8.250  1.00646E+00  9.79516E-01  2.73374E-02
    9266.405    253.140   8.300  1.00588E+00  9.77311E-01  2.90671E-02
    9269.577    256.312   8.350  1.00088E+00  9.75106E-01  2.63032E-02
    9272.768    259.503   8.400  9.92678E-01  9.72901E-01  2.02358E-02
    9275.978    262.713   8.450  9.82835E-01  9.70695E-01  1.24553E-02
    9279.207    265.942   8.500  9.73075E-01  9.68490E-01  4.71730E-03
    9282.455    269.190   8.550  9.64922E-01  9.66493E-01 -1.61972E-03
    9285.722    272.457   8.600  9.59681E-01  9.64495E-01 -4.97774E-03
    9289.008    275.743   8.650  9.58228E-01  9.62498E-01 -4.42523E-03
    9292.313    279.048   8.700  9.60834E-01  9.60500E-01  3.46955E-04
    9295.637    282.373   8.750  9.67131E-01  9.58503E-01  8.98813E-03
    9298.980    285.716   8.800  9.76179E-01  9.56505E-01  2.05456E-02
    9302.343    289.078   8.850  9.86608E-01  9.54508E-01  3.36072E-02
    9305.724    292.459   8.900  9.96820E-01  9.52510E-01  4.65053E-02
    9309.125    295.860   8.950  1.00521E+00  9.50513E-01  5.75515E-02
    9312.544    299.279   9.000  1.01039E+00  9.48515E-01  6.52652E-02
    9315.983    302.718   9.050  1.01207E+00  9.47191E-01  6.85482E-02
    9319.440    306.175   9.100  1.00918E+00  9.45866E-01  6.69955E-02
    9322.917    309.652   9.150  1.00169E+00  9.44542E-01  6.05729E-02
    9326.412    313.148   9.200  9.90119E-01  9.43217E-01  4.97917E-02
    9329.927    316.662   9.250  9.75400E-01  9.41893E-01  3.56289E-02
    9333.461    320.196   9.300  9.58773E-01  9.40569E-01  1.93883E-02
    9337.014    323.749   9.350  9.41610E-01  9.39244E-01  2.52367E-03
    9340.585    327.321   9.400  9.25239E-01  9.37920E-01 -1.35491E-02
    9344.176    330.912   9.450  9.10784E-01  9.36595E-01 -2.76234E-02
    9347.786    334.522   9.500  8.99043E-01  9.35271E-01 -3.88333E-02
    9351.415    338.151   9.550  8.91056E-01  9.34641E-01 -4.67460E-02
    9355.063    341.799   9.600  8.86155E-01  9.34011E-01 -5.13566E-02
    9358.731    345.466   9.650  8.84061E-01  9.33380E-01 -5.29584E-02
    9362.417    349.152   9.700  8.84262E-01  9.32750E-01 -5.20960E-02
    9366.122    352.857   9.750  8.86122E-01  9.32120E-01 -4.94489E-02
    9369.846    356.582   9.800  8.88994E-01  9.31490E-01 -4.57105E-02
    9373.589    360.325   9.850  8.92319E-01  9.30860E-01 -4.14803E-02
    9377.352    364.087   9.900  8.95698E-01  9.30229E-01 -3.71865E-02
    9381.133    367.869   9.950  8.98929E-01  9.29599E-01 -3.30477E-02
    9384.934    371.669  10.000  9.01999E-01  9.28969E-01 -2.90780E-02
    9388.753    375.489  10.050  9.05470E-01  9.28722E-01 -2.50712E-02
    9392.592    379.327  10.100  9.09163E-01  9.28474E-01 -2.08254E-02
    9396.449    383.185  10.150  9.13286E-01  9.28227E-01 -1.61142E-02
    9400.326    387.061  10.200  9.17974E-01  9.27979E-01 -1.07922E-02
    9404.222    390.957  10.250  9.23234E-01  9.27732E-01 -4.85255E-03
    9408.137    394.872  10.300  9.28918E-01  9.27485E-01  1.54625E-03
    9412.070    398.806  10.350  9.34735E-01  9.27237E-01  8.08942E-03
    9416.023    402.759  10.400  9.40287E-01  9.26990E-01  1.43486E-02
    9419.995    406.730  10.450  9.45137E-01  9.26743E-01  1.98509E-02
    9423.986    410.721  10.500  9.48880E-01  9.26495E-01  2.41607E-02
    9427.996    414.731  10.550  9.51224E-01  9.26248E-01  2.69605E-02
    9432.025    418.760  10.600  9.52043E-01  9.26000E-01  2.81147E-02
    9436.073    422.809  10.650  9.51413E-01  9.25753E-01  2.77042E-02
    9440.140    426.876  10.700  9.49607E-01  9.25506E-01  2.60246E-02
    9444.227    430.962  10.750  9.47063E-01  9.25258E-01  2.35471E-02
    9448.332    435.067  10.800  9.44312E-01  9.25011E-01  2.08457E-02
    9452.456    439.191  10.850  9.41894E-01  9.24763E-01  1.85036E-02
    9456.600    443.335  10.900  9.40265E-01  9.24516E-01  1.70127E-02
    9460.762    447.497  10.950  9.39711E-01  9.24269E-01  1.66834E-02
    9464.943    451.679  11.000  9.40291E-01  9.24021E-01  1.75794E-02
    9469.144    455.879  11.050  9.41194E-01  9.23110E-01  1.95570E-02
    9473.363    460.099  11.100  9.42612E-01  9.22199E-01  2.20963E-02
    9477.602    464.337  11.150  9.43902E-01  9.21289E-01  2.45015E-02
    9481.860    468.595  11.200  9.44335E-01  9.20378E-01  2.59809E-02
    9486.136    472.872  11.250  9.43209E-01  9.19467E-01  2.57721E-02
    9490.432    477.168  11.300  9.39974E-01  9.18556E-01  2.32705E-02
    9494.747    481.482  11.350  9.34326E-01  9.17645E-01  1.81406E-02
    9499.081    485.816  11.400  9.26282E-01  9.16734E-01  1.03930E-02
    9503.434    490.169  11.450  9.16202E-01  9.15823E-01  4.13208E-04
    9507.806    494.541  11.500  9.04767E-01  9.14912E-01 -1.10634E-02
    9512.197    498.932  11.550  8.92903E-01  9.14001E-01 -2.30289E-02
    9516.607    503.342  11.600  8.81674E-01  9.13090E-01 -3.43235E-02
    9521.036    507.771  11.650  8.72143E-01  9.12180E-01 -4.37818E-02
    9525.484    512.219  11.700  8.65236E-01  9.11269E-01 -5.03862E-02
    9529.951    516.687  11.750  8.61613E-01  9.10358E-01 -5.34040E-02
    9534.437    521.173  11.800  8.61582E-01  9.09447E-01 -5.24894E-02
    9538.943    525.678  11.850  8.65047E-01  9.08536E-01 -4.77354E-02
    9543.467    530.202  11.900  8.71520E-01  9.07625E-01 -3.96671E-02
    9548.011    534.746  11.950  8.80182E-01  9.06714E-01 -2.91771E-02
    9552.573    539.308  12.000  8.89985E-01  9.05803E-01 -1.74120E-02
    9557.155    543.890  12.050  8.99130E-01  9.04214E-01 -5.60611E-03
    9561.755    548.490  12.100  9.07165E-01  9.02625E-01  5.01493E-03
    9566.375    553.110  12.150  9.13197E-01  9.01035E-01  1.34580E-02
    9571.013    557.749  12.200  9.16640E-01  8.99446E-01  1.90614E-02
    9575.671    562.406  12.250  9.17276E-01  8.97857E-01  2.15671E-02
    9580.348    567.083  12.300  9.15264E-01  8.96268E-01  2.11360E-02
    9585.044    571.779  12.350  9.11101E-01  8.94678E-01  1.83054E-02
    9589.758    576.494  12.400  9.05533E-01  8.93089E-01  1.38954E-02
    9594.492    581.228  12.450  8.99439E-01  8.91500E-01  8.88069E-03
    9599.245    585.981  12.500  8.93698E-01  8.89911E-01  4.24483E-03
    9604.017    590.753  12.550  8.89069E-01  8.88321E-01  8.39376E-04
    9608.808    595.544  12.600  8.86081E-01  8.86732E-01 -7.32501E-04
    9613.618    600.354  12.650  8.84972E-01  8.85143E-01 -1.92283E-04
    9618.448    605.183  12.700  8.85668E-01  8.83553E-01  2.38727E-03
    9623.296    610.031  12.750  8.87806E-01  8.81964E-01  6.60708E-03
    9628.163    614.898  12.800  8.90801E-01  8.80375E-01  1.18127E-02
    9633.049    619.785  12.850  8.93938E-01  8.78786E-01  1.71990E-02
    9637.955    624.690  12.900  8.96483E-01  8.77196E-01  2.19326E-02
    9642.879    629.614  12.950  8.97791E-01  8.75607E-01  2.52728E-02
    9647.823    634.558  13.000  8.97388E-01  8.74018E-01  2.66740E-02
    9652.785    639.520  13.050  8.95345E-01  8.72751E-01  2.58254E-02
    9657.767    644.502  13.100  8.91374E-01  8.71484E-01  2.27688E-02
    9662.767    649.503  13.150  8.85752E-01  8.70217E-01  1.78092E-02
    9667.787    654.522  13.200  8.78942E-01  8.68951E-01  1.14716E-02
    9672.826    659.561  13.250  8.71525E-01  8.67684E-01  4.41709E-03
    9677.883    664.619  13.300  8.64110E-01  8.66417E-01 -2.65619E-03
