natx =      691
    x       y        z       iph  
      6.66735      0.00000      2.22245   1      7.02800
     -6.66735      0.00000      2.22245   1      7.02800
      0.00000      6.66735      2.22245   1      7.02800
      0.00000     -6.66735      2.22245   1      7.02800
      2.22245      0.00000      6.66735   1      7.02800
     -2.22245      0.00000      6.66735   1      7.02800
      0.00000      2.22245      6.66735   1      7.02800
      0.00000     -2.22245      6.66735   1      7.02800
      6.66735      0.00000     -2.22245   1      7.02800
     -6.66735      0.00000     -2.22245   1      7.02800
      0.00000      6.66735     -2.22245   1      7.02800
      0.00000     -6.66735     -2.22245   1      7.02800
      2.22245      0.00000     -6.66735   1      7.02800
     -2.22245      0.00000     -6.66735   1      7.02800
      0.00000      2.22245     -6.66735   1      7.02800
      0.00000     -2.22245     -6.66735   1      7.02800
      6.66735      2.22245      2.22245   2      7.37103
     -6.66735      2.22245      2.22245   2      7.37103
      2.22245      6.66735      2.22245   2      7.37103
     -2.22245      6.66735      2.22245   2      7.37103
      6.66735     -2.22245      2.22245   2      7.37103
     -6.66735     -2.22245      2.22245   2      7.37103
      2.22245     -6.66735      2.22245   2      7.37103
     -2.22245     -6.66735      2.22245   2      7.37103
      2.22245      2.22245      6.66735   2      7.37103
     -2.22245      2.22245      6.66735   2      7.37103
      2.22245     -2.22245      6.66735   2      7.37103
     -2.22245     -2.22245      6.66735   2      7.37103
      6.66735      2.22245     -2.22245   2      7.37103
     -6.66735      2.22245     -2.22245   2      7.37103
      2.22245      6.66735     -2.22245   2      7.37103
     -2.22245      6.66735     -2.22245   2      7.37103
      6.66735     -2.22245     -2.22245   2      7.37103
     -6.66735     -2.22245     -2.22245   2      7.37103
      2.22245     -6.66735     -2.22245   2      7.37103
     -2.22245     -6.66735     -2.22245   2      7.37103
      2.22245      2.22245     -6.66735   2      7.37103
     -2.22245      2.22245     -6.66735   2      7.37103
      2.22245     -2.22245     -6.66735   2      7.37103
     -2.22245     -2.22245     -6.66735   2      7.37103
      4.44490      4.44490      4.44490   1      7.69879
     -4.44490      4.44490      4.44490   1      7.69879
      4.44490     -4.44490      4.44490   1      7.69879
     -4.44490     -4.44490      4.44490   1      7.69879
      4.44490      4.44490     -4.44490   1      7.69879
     -4.44490      4.44490     -4.44490   1      7.69879
      4.44490     -4.44490     -4.44490   1      7.69879
     -4.44490     -4.44490     -4.44490   1      7.69879
      6.66735      4.44490      0.00000   2      8.01316
     -6.66735      4.44490      0.00000   2      8.01316
      4.44490      6.66735      0.00000   2      8.01316
     -4.44490      6.66735      0.00000   2      8.01316
      6.66735     -4.44490      0.00000   2      8.01316
     -6.66735     -4.44490      0.00000   2      8.01316
      4.44490     -6.66735      0.00000   2      8.01316
     -4.44490     -6.66735      0.00000   2      8.01316
      6.66735      0.00000      4.44490   2      8.01316
     -6.66735      0.00000      4.44490   2      8.01316
      0.00000      6.66735      4.44490   2      8.01316
      0.00000     -6.66735      4.44490   2      8.01316
      4.44490      0.00000      6.66735   2      8.01316
     -4.44490      0.00000      6.66735   2      8.01316
