1 s1/2 1s1/2 F0 1048.25740
2 s1/2 1s1/2 F0  336.22163
2 s1/2 1s1/2 G0  104.60039
2 s1/2 2s1/2 F0  235.66591
2 p1/2 1s1/2 F0  389.07556
2 p1/2 1s1/2 G1   85.90855
2 p1/2 2s1/2 F0  253.48215
2 p1/2 2s1/2 G1  147.33287
2 p1/2 2p1/2 F0  282.49294
2 p3/2 1s1/2 F0  358.95068
2 p3/2 1s1/2 G1   63.88050
2 p3/2 2s1/2 F0  246.47260
2 p3/2 2s1/2 G1  149.32097
2 p3/2 2p1/2 F0  272.40798
2 p3/2 2p1/2 G2  127.56730
2 p3/2 2p3/2 F0  263.54440
2 p3/2 2p3/2 F2  125.46212
3 s1/2 1s1/2 F0  133.02076
3 s1/2 1s1/2 G0   20.59806
3 s1/2 2s1/2 F0  114.63926
3 s1/2 2s1/2 G0   38.49933
3 s1/2 2p1/2 F0  117.52526
3 s1/2 2p1/2 G1   21.72040
3 s1/2 2p3/2 F0  116.35570
3 s1/2 2p3/2 G1   22.46359
3 s1/2 3s1/2 F0   88.32036
3 p1/2 1s1/2 F0  141.24020
3 p1/2 1s1/2 G1   15.77777
3 p1/2 2s1/2 F0  119.30071
3 p1/2 2s1/2 G1   21.17454
3 p1/2 2p1/2 F0  123.40755
3 p1/2 2p1/2 G0   42.33717
3 p1/2 2p3/2 F0  121.92390
3 p1/2 2p3/2 G2   17.04580
3 p1/2 3s1/2 F0   89.86088
3 p1/2 3s1/2 G1   58.51802
3 p1/2 3p1/2 F0   91.75180
3 p3/2 1s1/2 F0  133.52819
3 p3/2 1s1/2 G1   12.14827
3 p3/2 2s1/2 F0  114.87506
3 p3/2 2s1/2 G1   19.88660
3 p3/2 2p1/2 F0  118.70190
3 p3/2 2p1/2 G2   16.25703
3 p3/2 2p3/2 F0  117.36379
3 p3/2 2p3/2 F2   27.95669
3 p3/2 2p3/2 G0   40.07191
3 p3/2 2p3/2 G2   16.34527
3 p3/2 3s1/2 F0   87.99575
3 p3/2 3s1/2 G1   58.19500
3 p3/2 3p1/2 F0   89.69759
3 p3/2 3p1/2 G2   44.74438
3 p3/2 3p3/2 F0   87.81386
3 p3/2 3p3/2 F2   44.15801
3 d3/2 1s1/2 F0  131.29590
3 d3/2 1s1/2 G2    0.67846
3 d3/2 2s1/2 F0  126.24251
