natx =      705
    x       y        z       iph  
     -1.35275     -1.35275     -6.76375   2      7.02910
      5.41100      5.41100      0.00000   1      7.65231
     -5.41100      5.41100      0.00000   1      7.65231
      5.41100     -5.41100      0.00000   1      7.65231
     -5.41100     -5.41100      0.00000   1      7.65231
      5.41100      0.00000      5.41100   1      7.65231
     -5.41100      0.00000      5.41100   1      7.65231
      0.00000      5.41100      5.41100   1      7.65231
      0.00000     -5.41100      5.41100   1      7.65231
      5.41100      0.00000     -5.41100   1      7.65231
     -5.41100      0.00000     -5.41100   1      7.65231
      0.00000      5.41100     -5.41100   1      7.65231
      0.00000     -5.41100     -5.41100   1      7.65231
      6.76375      4.05825      1.35275   2      8.00298
     -6.76375      4.05825      1.35275   2      8.00298
      4.05825      6.76375      1.35275   2      8.00298
     -4.05825      6.76375      1.35275   2      8.00298
      6.76375     -4.05825      1.35275   2      8.00298
     -6.76375     -4.05825      1.35275   2      8.00298
      4.05825     -6.76375      1.35275   2      8.00298
     -4.05825     -6.76375      1.35275   2      8.00298
      6.76375      1.35275      4.05825   2      8.00298
     -6.76375      1.35275      4.05825   2      8.00298
      1.35275      6.76375      4.05825   2      8.00298
     -1.35275      6.76375      4.05825   2      8.00298
      6.76375     -1.35275      4.05825   2      8.00298
     -6.76375     -1.35275      4.05825   2      8.00298
      1.35275     -6.76375      4.05825   2      8.00298
     -1.35275     -6.76375      4.05825   2      8.00298
      4.05825      1.35275      6.76375   2      8.00298
     -4.05825      1.35275      6.76375   2      8.00298
      1.35275      4.05825      6.76375   2      8.00298
     -1.35275      4.05825      6.76375   2      8.00298
      4.05825     -1.35275      6.76375   2      8.00298
     -4.05825     -1.35275      6.76375   2      8.00298
      1.35275     -4.05825      6.76375   2      8.00298
     -1.35275     -4.05825      6.76375   2      8.00298
      6.76375      4.05825     -1.35275   2      8.00298
     -6.76375      4.05825     -1.35275   2      8.00298
      4.05825      6.76375     -1.35275   2      8.00298
     -4.05825      6.76375     -1.35275   2      8.00298
      6.76375     -4.05825     -1.35275   2      8.00298
     -6.76375     -4.05825     -1.35275   2      8.00298
      4.05825     -6.76375     -1.35275   2      8.00298
     -4.05825     -6.76375     -1.35275   2      8.00298
      6.76375      1.35275     -4.05825   2      8.00298
     -6.76375      1.35275     -4.05825   2      8.00298
      1.35275      6.76375     -4.05825   2      8.00298
     -1.35275      6.76375     -4.05825   2      8.00298
      6.76375     -1.35275     -4.05825   2      8.00298
     -6.76375     -1.35275     -4.05825   2      8.00298
      1.35275     -6.76375     -4.05825   2      8.00298
     -1.35275     -6.76375     -4.05825   2      8.00298
      4.05825      1.35275     -6.76375   2      8.00298
