# # Cu                                                           FEFF 9.05   
# # POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-7.991E+00 kf=1.994E+00 Vint=-1.742E+01 Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01089    100.00     12.00     2   2.5323
#           2       0.01471     22.99      6.00     2   3.5812
#           3       0.01072     10.61     48.00     3   3.7984
#           4       0.01318      7.52     48.00     3   4.3229
#           5       0.01418     55.07     24.00     2   4.3860
#           6       0.01330     11.25     48.00     3   4.7253
#           7       0.01346     17.45     96.00     3   4.7253
#           8       0.01607     18.67     12.00     2   5.0645
#           9       0.01392      8.74     12.00     3   5.0646
#          10       0.01607     39.86     24.00     3   5.0645
#          11       0.01392      9.74     12.00     4   5.0646
#          12       0.04356      4.05     12.00     4   5.0646
#          14       0.01607     31.90     12.00     4   5.0645
#          16       0.01966     27.24     24.00     2   5.6623
#          17       0.01499      8.94     48.00     3   5.8879
#          18       0.01926      5.83     48.00     3   5.8879
#          19       0.01897      6.34     48.00     3   5.8879
#          20       0.01562      4.31     96.00     3   5.9914
#          21       0.01500      4.97     96.00     3   5.9914
#          22       0.01500      4.66     96.00     4   5.9914
#          23       0.01562      4.81     96.00     4   5.9914
#          25       0.02071      6.95      8.00     2   6.2028
#          26       0.01872      5.01     96.00     3   6.2903
#    23/  24 paths used
#  xsedge+50, used to normalize mu           2.4644E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9009.566     13.049   2.350  1.04330E+00  9.59326E-01  8.69976E-02
    9010.471     13.954   2.400  1.03690E+00  9.61018E-01  7.88288E-02
    9011.395     14.878   2.450  1.02534E+00  9.64316E-01  6.34225E-02
    9012.338     15.821   2.500  1.00623E+00  9.67613E-01  4.01518E-02
    9013.300     16.783   2.550  9.82756E-01  9.70911E-01  1.23215E-02
    9014.281     17.764   2.600  9.59579E-01  9.74209E-01 -1.52266E-02
    9015.281     18.764   2.650  9.38870E-01  9.75012E-01 -3.76077E-02
    9016.300     19.784   2.700  9.22163E-01  9.75816E-01 -5.58169E-02
    9017.338     20.822   2.750  9.11321E-01  9.76619E-01 -6.79177E-02
    9018.396     21.879   2.800  9.07451E-01  9.77422E-01 -7.27649E-02
    9019.472     22.955   2.850  9.07549E-01  9.78556E-01 -7.36982E-02
    9020.567     24.051   2.900  9.14614E-01  9.79690E-01 -6.74106E-02
    9021.682     25.165   2.950  9.27478E-01  9.80824E-01 -5.51529E-02
    9022.815     26.299   3.000  9.44286E-01  9.81959E-01 -3.88733E-02
    9023.968     27.451   3.050  9.62855E-01  9.83025E-01 -2.07602E-02
    9025.139     28.623   3.100  9.82528E-01  9.84092E-01 -1.60571E-03
    9026.330     29.813   3.150  1.00088E+00  9.85158E-01  1.60966E-02
    9027.540     31.023   3.200  1.01568E+00  9.86224E-01  3.00904E-02
    9028.768     32.252   3.250  1.02895E+00  9.87489E-01  4.22466E-02
    9030.016     33.500   3.300  1.03721E+00  9.88753E-01  4.92513E-02
    9031.283     34.766   3.350  1.03946E+00  9.90017E-01  5.01231E-02
    9032.569     36.052   3.400  1.03557E+00  9.91281E-01  4.47883E-02
    9033.874     37.357   3.450  1.02891E+00  9.92630E-01  3.65929E-02
    9035.198     38.681   3.500  1.01753E+00  9.93978E-01  2.36945E-02
    9036.541     40.024   3.550  1.00298E+00  9.95327E-01  7.68235E-03
    9037.903     41.386   3.600  9.87244E-01  9.96675E-01 -9.44110E-03
    9039.284     42.767   3.650  9.72621E-01  9.98029E-01 -2.53753E-02
    9040.684     44.167   3.700  9.59958E-01  9.99382E-01 -3.92832E-02
    9042.103     45.587   3.750  9.50854E-01  1.00073E+00 -4.95901E-02
    9043.542     47.025   3.800  9.46351E-01  1.00209E+00 -5.52858E-02
    9044.999     48.482   3.850  9.46348E-01  1.00330E+00 -5.63833E-02
    9046.475     49.959   3.900  9.50811E-01  1.00452E+00 -5.30640E-02
    9047.971     51.454   3.950  9.58715E-01  1.00574E+00 -4.63649E-02
    9049.485     52.969   4.000  9.68575E-01  1.00695E+00 -3.77683E-02
    9051.019     54.502   4.050  9.79060E-01  1.00790E+00 -2.83352E-02
    9052.571     56.055   4.100  9.88558E-01  1.00884E+00 -1.98984E-02
    9054.143     57.626   4.150  9.95995E-01  1.00978E+00 -1.35047E-02
    9055.734     59.217   4.200  1.00095E+00  1.01072E+00 -9.55351E-03
    9057.343     60.827   4.250  1.00393E+00  1.01138E+00 -7.27786E-03
    9058.972     62.455   4.300  1.00562E+00  1.01204E+00 -6.27048E-03
    9060.620     64.103   4.350  1.00730E+00  1.01270E+00 -5.27488E-03
    9062.287     65.770   4.400  1.01035E+00  1.01336E+00 -2.93513E-03
    9063.973     67.456   4.450  1.01549E+00  1.01359E+00  1.84953E-03
    9065.678     69.161   4.500  1.02342E+00  1.01382E+00  9.35495E-03
    9067.402     70.885   4.550  1.03401E+00  1.01405E+00  1.94391E-02
    9069.145     72.628   4.600  1.04641E+00  1.01429E+00  3.12846E-02
    9070.907     74.390   4.650  1.05830E+00  1.01411E+00  4.30380E-02
    9072.688     76.171   4.700  1.06872E+00  1.01393E+00  5.33626E-02
    9074.488     77.972   4.750  1.07615E+00  1.01374E+00  6.07828E-02
    9076.308     79.791   4.800  1.07946E+00  1.01356E+00  6.41781E-02
    9078.146     81.629   4.850  1.07754E+00  1.01319E+00  6.27077E-02
    9080.003     83.487   4.900  1.07127E+00  1.01282E+00  5.69827E-02
    9081.880     85.363   4.950  1.06137E+00  1.01245E+00  4.77159E-02
    9083.775     87.258   5.000  1.04895E+00  1.01208E+00  3.59821E-02
    9085.690     89.173   5.050  1.03496E+00  1.01138E+00  2.30331E-02
    9087.623     91.106   5.100  1.02094E+00  1.01067E+00  1.00363E-02
    9089.576     93.059   5.150  1.00764E+00  1.00996E+00 -2.27353E-03
    9091.547     95.031   5.200  9.95438E-01  1.00926E+00 -1.35221E-02
    9093.538     97.021   5.250  9.84311E-01  1.00840E+00 -2.35876E-02
    9095.548     99.031   5.300  9.74180E-01  1.00755E+00 -3.26908E-02
    9097.577    101.060   5.350  9.64903E-01  1.00669E+00 -4.09672E-02
    9099.625    103.108   5.400  9.56516E-01  1.00583E+00 -4.83811E-02
    9101.692    105.175   5.450  9.49586E-01  1.00514E+00 -5.45363E-02
    9103.777    107.261   5.500  9.44404E-01  1.00445E+00 -5.89819E-02
    9105.883    109.366   5.550  9.41639E-01  1.00375E+00 -6.10573E-02
    9108.007    111.490   5.600  9.41899E-01  1.00306E+00 -6.01608E-02
    9110.150    113.633   5.650  9.45694E-01  1.00239E+00 -5.58008E-02
    9112.312    115.795   5.700  9.52796E-01  1.00172E+00 -4.81805E-02
    9114.493    117.976   5.750  9.62683E-01  1.00106E+00 -3.78077E-02
    9116.693    120.177   5.800  9.74455E-01  1.00039E+00 -2.55663E-02
    9118.913    122.396   5.850  9.87081E-01  9.99801E-01 -1.25442E-02
    9121.151    124.634   5.900  9.99348E-01  9.99212E-01  1.34019E-04
    9123.408    126.892   5.950  1.01044E+00  9.98622E-01  1.16614E-02
    9125.685    129.168   6.000  1.01994E+00  9.98032E-01  2.16333E-02
    9127.980    131.464   6.050  1.02821E+00  9.97742E-01  3.00899E-02
    9130.295    133.778   6.100  1.03532E+00  9.97451E-01  3.74049E-02
    9132.629    136.112   6.150  1.04174E+00  9.97160E-01  4.40416E-02
    9134.981    138.465   6.200  1.04777E+00  9.96869E-01  5.02991E-02
    9137.353    140.836   6.250  1.05333E+00  9.96578E-01  5.60916E-02
    9139.744    143.227   6.300  1.05783E+00  9.96288E-01  6.08394E-02
    9142.154    145.637   6.350  1.06023E+00  9.95997E-01  6.35141E-02
    9144.582    148.066   6.400  1.05924E+00  9.95706E-01  6.28440E-02
    9147.030    150.514   6.450  1.05367E+00  9.95415E-01  5.76380E-02
    9149.497    152.981   6.500  1.04277E+00  9.95124E-01  4.71511E-02
    9151.983    155.467   6.550  1.02622E+00  9.94833E-01  3.10740E-02
    9154.488    157.972   6.600  1.00530E+00  9.94541E-01  1.06553E-02
    9157.012    160.496   6.650  9.82036E-01  9.94249E-01 -1.21004E-02
    9159.556    163.039   6.700  9.59121E-01  9.93957E-01 -3.45310E-02
    9162.118    165.601   6.750  9.39440E-01  9.93665E-01 -5.37731E-02
    9164.699    168.182   6.800  9.25542E-01  9.93373E-01 -6.72945E-02
    9167.299    170.783   6.850  9.19144E-01  9.93081E-01 -7.33845E-02
    9169.919    173.402   6.900  9.20790E-01  9.92790E-01 -7.14916E-02
    9172.557    176.041   6.950  9.29749E-01  9.92498E-01 -6.23319E-02
    9175.215    178.698   7.000  9.44164E-01  9.92206E-01 -4.77438E-02
    9177.891    181.375   7.050  9.61114E-01  9.91508E-01 -3.02365E-02
    9180.587    184.070   7.100  9.77991E-01  9.90810E-01 -1.27654E-02
    9183.301    186.785   7.150  9.92202E-01  9.90112E-01  2.08358E-03
    9186.035    189.518   7.200  1.00195E+00  9.89414E-01  1.25152E-02
    9188.788    192.271   7.250  1.00654E+00  9.88716E-01  1.78020E-02
    9191.560    195.043   7.300  1.00634E+00  9.88017E-01  1.83230E-02
    9194.350    197.834   7.350  1.00267E+00  9.87319E-01  1.53708E-02
    9197.160    200.644   7.400  9.97384E-01  9.86621E-01  1.07847E-02
    9199.989    203.472   7.450  9.92403E-01  9.85923E-01  6.50038E-03
    9202.837    206.320   7.500  9.89326E-01  9.85225E-01  4.11761E-03
    9205.704    209.187   7.550  9.88715E-01  9.84067E-01  4.67414E-03
    9208.590    212.073   7.600  9.91059E-01  9.82909E-01  8.20921E-03
    9211.495    214.979   7.650  9.95662E-01  9.81751E-01  1.40341E-02
    9214.419    217.903   7.700  1.00124E+00  9.80593E-01  2.08641E-02
    9217.363    220.846   7.750  1.00625E+00  9.79435E-01  2.71350E-02
    9220.325    223.808   7.800  1.00921E+00  9.78277E-01  3.13558E-02
    9223.306    226.790   7.850  1.00905E+00  9.77120E-01  3.24206E-02
    9226.307    229.790   7.900  1.00529E+00  9.75962E-01  2.98197E-02
    9229.326    232.809   7.950  9.98090E-01  9.74804E-01  2.37147E-02
    9232.364    235.848   8.000  9.88229E-01  9.73646E-01  1.48746E-02
    9235.422    238.905   8.050  9.76927E-01  9.72516E-01  4.50545E-03
    9238.499    241.982   8.100  9.65443E-01  9.71386E-01 -6.07982E-03
    9241.594    245.077   8.150  9.55059E-01  9.70257E-01 -1.55689E-02
