     4.6000    2.940882E-02  5.103996E-02  1.318043E+01
     4.6500    4.101255E-02  5.471200E-02  1.341384E+01
     4.7000    5.129135E-02  5.783841E-02  1.365675E+01
     4.7500    5.870686E-02  6.031737E-02  1.390556E+01
     4.8000    6.207110E-02  6.208376E-02  1.415736E+01
     4.8500    6.050212E-02  6.275321E-02  1.440583E+01
     4.9000    5.460868E-02  6.274246E-02  1.465203E+01
     4.9500    4.516241E-02  6.210905E-02  1.489381E+01
     5.0000    3.334654E-02  6.094582E-02  1.512901E+01
     5.0500    2.055102E-02  5.917035E-02  1.535325E+01
     5.1000    8.052814E-03  5.724664E-02  1.556683E+01
     5.1500   -3.355348E-03  5.537658E-02  1.576859E+01
     5.2000   -1.333179E-02  5.377510E-02  1.595849E+01
     5.2500   -2.189198E-02  5.255033E-02  1.613766E+01
     5.3000   -2.948439E-02  5.198815E-02  1.631099E+01
     5.3500   -3.650829E-02  5.214142E-02  1.648361E+01
     5.4000   -4.316910E-02  5.296506E-02  1.666078E+01
     5.4500   -4.923536E-02  5.421292E-02  1.684689E+01
     5.5000   -5.425990E-02  5.578625E-02  1.704430E+01
     5.5500   -5.744191E-02  5.746047E-02  1.725334E+01
     5.6000   -5.791085E-02  5.902046E-02  1.747297E+01
     5.6500   -5.484453E-02  6.013810E-02  1.770148E+01
     5.7000   -4.812596E-02  6.079901E-02  1.793620E+01
     5.7500   -3.806702E-02  6.090668E-02  1.817442E+01
     5.8000   -2.553201E-02  6.041573E-02  1.841324E+01
     5.8500   -1.178333E-02  5.921946E-02  1.864924E+01
     5.9000    1.715070E-03  5.751907E-02  1.887938E+01
     5.9500    1.375354E-02  5.545307E-02  1.910019E+01
     6.0000    2.357080E-02  5.322626E-02  1.930832E+01
     6.0500    3.098250E-02  5.107193E-02  1.950139E+01
     6.1000    3.642289E-02  4.938481E-02  1.967896E+01
     6.1500    4.064338E-02  4.847635E-02  1.984393E+01
     6.2000    4.441629E-02  4.858560E-02  2.000305E+01
     6.2500    4.820292E-02  4.980933E-02  2.016569E+01
     6.3000    5.190726E-02  5.207194E-02  2.034080E+01
     6.3500    5.479687E-02  5.515440E-02  2.053428E+01
     6.4000    5.562849E-02  5.875885E-02  2.074824E+01
     6.4500    5.295964E-02  6.257023E-02  2.098195E+01
     6.5000    4.557316E-02  6.629520E-02  2.123321E+01
     6.5500    3.258971E-02  6.962794E-02  2.150406E+01
     6.6000    1.465954E-02  7.233516E-02  2.178707E+01
     6.6500   -6.577026E-03  7.425867E-02  2.207983E+01
     6.7000   -2.856771E-02  7.528554E-02  2.238036E+01
     6.7500   -4.830082E-02  7.534405E-02  2.268704E+01
     6.8000   -6.290180E-02  7.439992E-02  2.299857E+01
