3 d5/2 3p3/2 G3    8.95617   9.49059   1.00000
3 d5/2 3d3/2 F0   22.97394  23.55359   1.00000
3 d5/2 3d3/2 F2   10.61774  11.02946   1.00000
3 d5/2 3d3/2 G2   10.61755  11.23499   1.00000
3 d5/2 3d3/2 G4    6.60243   7.02771   1.00000
3 d5/2 3d5/2 F0   23.27534  24.44145   1.00000
3 d5/2 3d5/2 F2   10.64339  11.44467   1.00000
3 d5/2 3d5/2 F4    6.60714   7.15875   1.00000
4 s1/2 1s1/2 F0    5.48377   5.48377   1.00000
4 s1/2 1s1/2 G0    0.23747   0.23747   1.00000
4 s1/2 2s1/2 F0    5.23901   5.23901   1.00000
4 s1/2 2s1/2 G0    0.53434   0.53434   1.00000
4 s1/2 2p1/2 F0    5.26996   5.26996   1.00000
4 s1/2 2p1/2 G1    0.31423   0.31423   1.00000
4 s1/2 2p3/2 F0    5.26735   5.26735   1.00000
4 s1/2 2p3/2 G1    0.31555   0.31555   1.00000
4 s1/2 3s1/2 F0    4.78966   4.78966   1.00000
4 s1/2 3s1/2 G0    1.41417   1.41417   1.00000
4 s1/2 3p1/2 F0    4.75399   4.75399   1.00000
4 s1/2 3p1/2 G1    0.96525   0.96525   1.00000
4 s1/2 3p3/2 F0    4.74557   4.74557   1.00000
4 s1/2 3p3/2 G1    0.97746   0.97746   1.00000
4 s1/2 3d3/2 F0    4.46307   4.46307   1.00000
4 s1/2 3d3/2 G2    1.08725   1.40169   1.00000
4 s1/2 3d5/2 F0    4.60067   4.02606   1.00000
4 s1/2 3d5/2 G2    1.18418   2.53331   1.00000
4 s1/2 4s1/2 F0    1.19186   1.19186   1.00000
4 p1/2 1s1/2 F0    2.00794   2.00794   1.00000
4 p1/2 1s1/2 G1    0.07105   0.07105   1.00000
4 p1/2 2s1/2 F0    1.89046   1.89046   1.00000
4 p1/2 2s1/2 G1    0.11882   0.11882   1.00000
4 p1/2 2p1/2 F0    1.90857   1.90857   1.00000
4 p1/2 2p1/2 G0    0.24128   0.24128   1.00000
4 p1/2 2p3/2 F0    1.90723   1.90723   1.00000
4 p1/2 2p3/2 G2    0.09752   0.09752   1.00000
4 p1/2 3s1/2 F0    1.68928   1.68928   1.00000
4 p1/2 3s1/2 G1    0.33939   0.33939   1.00000
4 p1/2 3p1/2 F0    1.67500   1.67500   1.00000
4 p1/2 3p1/2 G0    0.60979   0.60979   1.00000
4 p1/2 3p3/2 F0    1.67137   1.67137   1.00000
4 p1/2 3p3/2 G2    0.26455   0.26455   1.00000
4 p1/2 3d3/2 F0    1.56654   1.56654   1.00000
4 p1/2 3d3/2 G1    0.50804   0.61660   1.00000
4 p1/2 3d5/2 F0    1.61374   1.39566   1.00000
4 p1/2 3d5/2 G3    0.31740   0.74958   1.00000
4 p1/2 4s1/2 F0    0.41535   0.41535   1.00000
4 p1/2 4s1/2 G1    0.30539   0.30539   1.00000
4 p1/2 4p1/2 F0    0.14510   0.14510   1.00000
4 p3/2 1s1/2 F0    0.00000   0.00000   1.00000
4 p3/2 1s1/2 G1    0.00000   0.00000   1.00000
4 p3/2 2s1/2 F0    0.00000   0.00000   1.00000
4 p3/2 2s1/2 G1    0.00000   0.00000   1.00000
4 p3/2 2p1/2 F0    0.00000   0.00000   1.00000
4 p3/2 2p1/2 G2    0.00000   0.00000   1.00000
4 p3/2 2p3/2 F0    0.00000   0.00000   1.00000
4 p3/2 2p3/2 F2    0.00000   0.00000   1.00000
4 p3/2 2p3/2 G0    0.00000   0.00000   1.00000
4 p3/2 2p3/2 G2    0.00000   0.00000   1.00000
4 p3/2 3s1/2 F0    0.00000   0.00000   1.00000
4 p3/2 3s1/2 G1    0.00000   0.00000   1.00000
4 p3/2 3p1/2 F0    0.00000   0.00000   1.00000
4 p3/2 3p1/2 G2    0.00000   0.00000   1.00000
4 p3/2 3p3/2 F0    0.00000   0.00000   1.00000
4 p3/2 3p3/2 F2    0.00000   0.00000   1.00000
4 p3/2 3p3/2 G0    0.00000   0.00000   1.00000
4 p3/2 3p3/2 G2    0.00000   0.00000   1.00000
4 p3/2 3d3/2 F0    0.00000   0.00000   1.00000
4 p3/2 3d3/2 F2    0.00000   0.00000   1.00000
4 p3/2 3d3/2 G1    0.00000       NaN   1.00000
4 p3/2 3d3/2 G3    0.00000       NaN   1.00000
4 p3/2 3d5/2 F0    0.00000       NaN   1.00000
4 p3/2 3d5/2 F2    0.00000       NaN   1.00000
4 p3/2 3d5/2 G1    0.00000       NaN   1.00000
4 p3/2 3d5/2 G3    0.00000       NaN   1.00000
4 p3/2 4s1/2 F0    0.00000   0.00000   1.00000
4 p3/2 4s1/2 G1    0.00000   0.00000   1.00000
4 p3/2 4p1/2 F0    0.00000   0.00000   1.00000
4 p3/2 4p1/2 G2    0.00000   0.00000   1.00000
4 p3/2 4p3/2 F0    0.00000   0.00000   1.00000
4 p3/2 4p3/2 F2    0.00000   0.00000   1.00000
4 d3/2 1s1/2 F0    0.00000   0.00000   1.00000
4 d3/2 1s1/2 G2    0.00000   0.00000   1.00000
4 d3/2 2s1/2 F0    0.00000   0.00000   1.00000
4 d3/2 2s1/2 G2    0.00000   0.00000   1.00000
4 d3/2 2p1/2 F0    0.00000   0.00000   1.00000
4 d3/2 2p1/2 G1    0.00000   0.00000   1.00000
4 d3/2 2p3/2 F0    0.00000   0.00000   1.00000
4 d3/2 2p3/2 F2    0.00000   0.00000   1.00000
4 d3/2 2p3/2 G1    0.00000   0.00000   1.00000
4 d3/2 2p3/2 G3    0.00000   0.00000   1.00000
4 d3/2 3s1/2 F0    0.00000   0.00000   1.00000
4 d3/2 3s1/2 G2    0.00000   0.00000   1.00000
4 d3/2 3p1/2 F0    0.00000   0.00000   1.00000
4 d3/2 3p1/2 G1    0.00000   0.00000   1.00000
4 d3/2 3p3/2 F0    0.00000   0.00000   1.00000
4 d3/2 3p3/2 F2    0.00000   0.00000   1.00000
4 d3/2 3p3/2 G1    0.00000   0.00000   1.00000
4 d3/2 3p3/2 G3    0.00000   0.00000   1.00000
4 d3/2 3d3/2 F0    0.00000   0.00000   1.00000
4 d3/2 3d3/2 F2    0.00000   0.00000   1.00000
4 d3/2 3d3/2 G0    0.00000       NaN   1.00000
4 d3/2 3d3/2 G2    0.00000       NaN   1.00000
4 d3/2 3d5/2 F0    0.00000       NaN   1.00000
4 d3/2 3d5/2 F2    0.00000       NaN   1.00000
4 d3/2 3d5/2 G2    0.00000       NaN   1.00000
4 d3/2 3d5/2 G4    0.00000       NaN   1.00000
4 d3/2 4s1/2 F0    0.00000   0.00000   1.00000
4 d3/2 4s1/2 G2    0.00000   0.00000   1.00000
4 d3/2 4p1/2 F0    0.00000   0.00000   1.00000
4 d3/2 4p1/2 G1    0.00000   0.00000   1.00000
4 d3/2 4p3/2 F0    0.00000   0.00000   1.00000
4 d3/2 4p3/2 F2    0.00000   0.00000   1.00000
4 d3/2 4p3/2 G1    0.00000   0.00000   1.00000
