# # 13-atom                                                      FEFF 9.05   
# # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=30 Rmt= 1.346 Rnm= 1.427 K  shell
# # Pot 1 Z= 7 Rmt= 0.763 Rnm= 0.992
# # Pot 2 Z= 6 Rmt= 0.811 Rnm= 1.117
# # Gam_ch=1.897E+00 H-L exch
# # Mu= 6.703E+00 kf=2.524E+00 Vint=-1.757E+01 Rs_int= 1.437
# # PATH  Rmax= 3.070,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 300.00  Debye_temp= 600.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00468    100.00      2.00     2   1.9832
#           2       0.00475     99.96      2.00     2   1.9835
#           3       0.00651     37.28      2.00     2   2.9510
#           4       0.00670     36.25      2.00     2   2.9861
#           5       0.00644     35.54      2.00     2   3.0115
#           6       0.00660     34.75      2.00     2   3.0399
#     6/   6 paths used
#  xsedge+50, used to normalize mu           2.2523E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9707.678     50.746   3.400  1.09044E+00  1.01246E+00  7.83165E-02
    9708.983     52.051   3.450  1.08812E+00  1.01206E+00  7.63184E-02
    9710.307     53.375   3.500  1.08418E+00  1.01165E+00  7.27024E-02
    9711.650     54.718   3.550  1.07899E+00  1.01125E+00  6.78450E-02
    9713.012     56.080   3.600  1.07292E+00  1.01084E+00  6.21156E-02
    9714.393     57.461   3.650  1.06693E+00  1.01095E+00  5.59469E-02
    9715.793     58.861   3.700  1.06057E+00  1.01105E+00  4.94223E-02
    9717.213     60.281   3.750  1.05411E+00  1.01116E+00  4.28231E-02
    9718.651     61.719   3.800  1.04780E+00  1.01126E+00  3.63841E-02
    9720.108     63.176   3.850  1.04219E+00  1.01167E+00  3.03471E-02
    9721.585     64.653   3.900  1.03700E+00  1.01208E+00  2.47459E-02
    9723.080     66.148   3.950  1.03233E+00  1.01248E+00  1.96748E-02
    9724.595     67.663   4.000  1.02822E+00  1.01289E+00  1.51819E-02
    9726.128     69.196   4.050  1.02525E+00  1.01378E+00  1.13346E-02
    9727.681     70.749   4.100  1.02281E+00  1.01468E+00  8.03071E-03
    9729.252     72.320   4.150  1.02087E+00  1.01557E+00  5.22309E-03
    9730.843     73.911   4.200  1.01935E+00  1.01646E+00  2.84411E-03
    9732.453     75.521   4.250  1.01831E+00  1.01741E+00  8.79853E-04
    9734.081     77.149   4.300  1.01751E+00  1.01836E+00 -8.34352E-04
    9735.729     78.797   4.350  1.01687E+00  1.01930E+00 -2.38252E-03
    9737.396     80.464   4.400  1.01632E+00  1.02025E+00 -3.84004E-03
    9739.082     82.150   4.450  1.01568E+00  1.02106E+00 -5.24674E-03
    9740.787     83.855   4.500  1.01499E+00  1.02186E+00 -6.70554E-03
    9742.511     85.579   4.550  1.01420E+00  1.02266E+00 -8.24630E-03
    9744.254     87.322   4.600  1.01332E+00  1.02347E+00 -9.87612E-03
    9746.016     89.084   4.650  1.01209E+00  1.02407E+00 -1.16514E-02
    9747.797     90.865   4.700  1.01076E+00  1.02467E+00 -1.35129E-02
    9749.598     92.666   4.750  1.00940E+00  1.02528E+00 -1.54088E-02
    9751.417     94.485   4.800  1.00807E+00  1.02588E+00 -1.72703E-02
    9753.255     96.323   4.850  1.00633E+00  1.02612E+00 -1.91698E-02
    9755.112     98.181   4.900  1.00477E+00  1.02636E+00 -2.09045E-02
    9756.989    100.057   4.950  1.00348E+00  1.02660E+00 -2.23788E-02
    9758.884    101.952   5.000  1.00254E+00  1.02684E+00 -2.34999E-02
    9760.799    103.867   5.050  1.00151E+00  1.02670E+00 -2.43634E-02
    9762.732    105.800   5.100  1.00100E+00  1.02656E+00 -2.47216E-02
    9764.685    107.753   5.150  1.00108E+00  1.02642E+00 -2.45105E-02
    9766.657    109.725   5.200  1.00179E+00  1.02629E+00 -2.36893E-02
    9768.647    111.715   5.250  1.00276E+00  1.02585E+00 -2.23296E-02
    9770.657    113.725   5.300  1.00440E+00  1.02541E+00 -2.03215E-02
    9772.686    115.754   5.350  1.00667E+00  1.02497E+00 -1.76983E-02
    9774.734    117.802   5.400  1.00952E+00  1.02453E+00 -1.45228E-02
