# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   8994.89      0.350993E-11  0.462432E-11 -0.111439E-11  0.720487E-13  0.892816E-35  0.247909E-36  0.883412E-35  0.336818E-11  0.695893E-35  0.247909E-36  0.620661E-35  0.697027E-13
   8995.39      0.351614E-11  0.468325E-11 -0.116711E-11  0.721737E-13  0.161808E-35  0.974321E-37  0.161808E-35  0.337441E-11  0.315032E-35  0.974321E-37  0.329138E-35  0.695599E-13
   8995.91      0.360169E-11  0.474215E-11 -0.114045E-11  0.739168E-13 -0.411536E-35 -0.808875E-37 -0.413887E-35  0.345631E-11 -0.310331E-35 -0.808875E-37 -0.253907E-35  0.714648E-13
   8996.46      0.379881E-11  0.479262E-11 -0.993805E-12  0.779383E-13 -0.840892E-35 -0.131776E-36 -0.843243E-35  0.364480E-11 -0.902780E-35 -0.184673E-36 -0.808740E-35  0.760674E-13
   8997.02      0.412805E-11  0.484301E-11 -0.714957E-12  0.846622E-13 -0.454319E-35 -0.147909E-36 -0.459021E-35  0.395975E-11 -0.611257E-35 -0.100889E-36 -0.686489E-35  0.836403E-13
   8997.60      0.458372E-11  0.488487E-11 -0.301149E-12  0.939734E-13 -0.873080E-36 -0.281138E-37 -0.855448E-36  0.439583E-11 -0.752316E-36 -0.354606E-37 -0.740561E-36  0.939221E-13
   8998.20      0.511593E-11  0.492669E-11  0.189243E-12  0.104853E-12 -0.740577E-37 -0.113738E-36 -0.784658E-37  0.490543E-11 -0.202185E-35 -0.902279E-37 -0.183377E-35  0.105646E-12
   8998.82      0.566548E-11  0.496012E-11  0.705360E-12  0.116091E-12  0.309446E-35  0.114472E-36  0.311797E-35  0.543194E-11  0.423178E-35  0.114472E-36  0.385562E-35  0.117446E-12
   8999.46      0.614046E-11  0.499351E-11  0.114695E-11  0.125806E-12  0.791297E-35  0.454999E-36  0.791297E-35  0.588734E-11  0.126013E-34  0.384469E-36  0.137298E-34  0.127318E-12
   9000.11      0.646640E-11  0.501879E-11  0.144761E-11  0.132471E-12  0.253042E-35  0.180381E-36  0.316519E-35  0.620018E-11  0.498410E-35  0.162749E-36  0.460794E-35  0.133747E-12
   9000.79      0.658891E-11  0.504403E-11  0.154488E-11  0.134972E-12 -0.418900E-36  0.217151E-37 -0.417431E-36  0.631821E-11  0.623012E-36  0.180417E-37  0.623012E-36  0.135729E-12
   9001.49      0.649036E-11  0.506180E-11  0.142856E-11  0.132946E-12 -0.128826E-36  0.356007E-37 -0.128826E-36  0.622435E-11  0.752316E-36  0.289885E-37  0.764071E-36  0.133062E-12
   9002.20      0.621914E-11  0.507955E-11  0.113958E-11  0.127382E-12  0.754317E-36  0.174373E-36  0.830725E-36  0.596481E-11  0.338542E-35  0.150863E-36  0.338542E-35  0.126940E-12
   9002.93      0.583887E-11  0.508998E-11  0.748885E-12  0.119582E-12  0.587891E-36  0.937353E-37  0.611401E-36  0.560051E-11  0.197483E-35  0.746336E-37  0.197483E-35  0.118778E-12
   9003.69      0.547280E-11  0.510039E-11  0.372409E-12  0.112070E-12 -0.163664E-35 -0.208549E-36 -0.163664E-35  0.524958E-11 -0.310331E-35 -0.138019E-36 -0.291523E-35  0.111156E-12
   9004.46      0.519488E-11  0.510114E-11  0.937414E-13  0.106361E-12 -0.142622E-35 -0.101789E-36 -0.137920E-35  0.498302E-11 -0.352648E-35 -0.107666E-36 -0.352648E-35  0.105497E-12
   9005.25      0.510571E-11  0.510187E-11  0.384441E-14  0.104515E-12 -0.145311E-35 -0.112450E-36 -0.150012E-35  0.489742E-11 -0.263311E-35 -0.106572E-36 -0.239801E-35  0.103778E-12
   9006.06      0.520943E-11  0.510255E-11  0.106887E-12  0.106618E-12 -0.171525E-35 -0.274723E-37 -0.172700E-35  0.499686E-11 -0.124602E-35 -0.362885E-37 -0.126953E-35  0.105953E-12
   9006.89      0.545056E-11  0.510321E-11  0.347354E-12  0.111533E-12 -0.263953E-35 -0.580452E-38 -0.259251E-35  0.522821E-11 -0.969783E-37 -0.470250E-38 -0.896314E-37  0.110819E-12
   9007.74      0.577927E-11  0.510196E-11  0.677316E-12  0.118241E-12 -0.601876E-36  0.491383E-37 -0.572489E-36  0.554369E-11  0.152814E-35  0.461996E-37  0.145761E-35  0.117342E-12
   9008.60      0.601321E-11  0.510067E-11  0.912532E-12  0.123007E-12  0.338292E-36  0.859253E-37  0.316251E-36  0.576827E-11  0.253907E-35  0.859253E-37  0.244503E-35  0.121934E-12
   9009.49      0.605564E-11  0.509933E-11  0.956308E-12  0.123849E-12  0.754512E-36  0.689933E-37  0.813286E-36  0.580893E-11  0.176324E-35  0.469528E-37  0.159867E-35  0.122867E-12
   9010.39      0.589031E-11  0.509798E-11  0.792331E-12  0.120434E-12  0.359398E-36  0.156175E-37  0.359398E-36  0.564990E-11  0.382036E-36  0.156175E-37  0.382036E-36  0.119978E-12
   9011.32      0.563057E-11  0.512207E-11  0.508500E-12  0.115078E-12 -0.579497E-36 -0.480167E-37 -0.555987E-36  0.539978E-11 -0.171622E-35 -0.480167E-37 -0.169271E-35  0.115705E-12
   9012.26      0.533802E-11  0.514610E-11  0.191918E-12  0.109060E-12 -0.153892E-35 -0.878757E-37 -0.154480E-35  0.511849E-11 -0.277417E-35 -0.819982E-37 -0.277417E-35  0.110475E-12
   9013.22      0.508607E-11  0.517007E-11 -0.839984E-13  0.103885E-12 -0.238595E-35 -0.108107E-36 -0.238595E-35  0.487665E-11 -0.315032E-35 -0.113985E-36 -0.310331E-35  0.105530E-12
   9014.20      0.492328E-11  0.519400E-11 -0.270722E-12  0.100544E-12 -0.307759E-35 -0.119569E-36 -0.303057E-35  0.472086E-11 -0.404370E-35 -0.119569E-36 -0.404370E-35  0.101880E-12
   9015.20      0.480105E-11  0.520137E-11 -0.400319E-12  0.980352E-13 -0.125018E-35 -0.635709E-37 -0.123843E-35  0.460412E-11 -0.150463E-35 -0.635709E-37 -0.145761E-35  0.989027E-13
   9016.22      0.474021E-11  0.520872E-11 -0.468510E-12  0.967821E-13  0.101788E-35  0.556781E-37  0.994368E-36  0.454631E-11  0.173973E-35  0.703718E-37  0.192781E-35  0.971184E-13
