# Once
#  POT  SCF 100  2.1000   0, NO core-hole, AFOLP (folp(0)= 1.150)
    0 195 196  Unique potential, I_mt, I_norman.    Following data in atomic units.
  iph            0
   i      r         vcoul        rho     ovrlp vcoul  ovrlp vtot  ovrlp rho
   50  1.7467E-03 -1.5899E+04  1.5578E+04 -1.5900E+04 -1.5924E+04  1.5577E+04
   51  1.8363E-03 -1.5118E+04  1.5467E+04 -1.5118E+04 -1.5143E+04  1.5467E+04
   52  1.9305E-03 -1.4374E+04  1.5354E+04 -1.4374E+04 -1.4399E+04  1.5353E+04
   53  2.0294E-03 -1.3667E+04  1.5237E+04 -1.3667E+04 -1.3691E+04  1.5236E+04
   54  2.1335E-03 -1.2994E+04  1.5116E+04 -1.2994E+04 -1.3018E+04  1.5115E+04
   55  2.2429E-03 -1.2354E+04  1.4992E+04 -1.2354E+04 -1.2378E+04  1.4992E+04
   56  2.3579E-03 -1.1745E+04  1.4865E+04 -1.1745E+04 -1.1769E+04  1.4864E+04
   57  2.4788E-03 -1.1166E+04  1.4733E+04 -1.1166E+04 -1.1190E+04  1.4733E+04
   58  2.6058E-03 -1.0615E+04  1.4598E+04 -1.0615E+04 -1.0639E+04  1.4597E+04
   59  2.7394E-03 -1.0091E+04  1.4459E+04 -1.0091E+04 -1.0115E+04  1.4458E+04
   60  2.8799E-03 -9.5924E+03  1.4316E+04 -9.5925E+03 -9.6166E+03  1.4315E+04
   61  3.0276E-03 -9.1183E+03  1.4168E+04 -9.1184E+03 -9.1424E+03  1.4167E+04
   62  3.1828E-03 -8.6673E+03  1.4016E+04 -8.6673E+03 -8.6913E+03  1.4015E+04
   63  3.3460E-03 -8.2382E+03  1.3859E+04 -8.2383E+03 -8.2621E+03  1.3858E+04
   64  3.5175E-03 -7.8301E+03  1.3698E+04 -7.8302E+03 -7.8540E+03  1.3697E+04
   65  3.6979E-03 -7.4420E+03  1.3532E+04 -7.4420E+03 -7.4657E+03  1.3531E+04
   66  3.8875E-03 -7.0727E+03  1.3361E+04 -7.0728E+03 -7.0963E+03  1.3360E+04
   67  4.0868E-03 -6.7215E+03  1.3185E+04 -6.7216E+03 -6.7450E+03  1.3184E+04
   68  4.2963E-03 -6.3874E+03  1.3004E+04 -6.3875E+03 -6.4108E+03  1.3003E+04
   69  4.5166E-03 -6.0696E+03  1.2817E+04 -6.0697E+03 -6.0929E+03  1.2817E+04
   70  4.7482E-03 -5.7673E+03  1.2626E+04 -5.7674E+03 -5.7905E+03  1.2625E+04
   71  4.9916E-03 -5.4798E+03  1.2429E+04 -5.4799E+03 -5.5029E+03  1.2428E+04
