# # Cu                                                           FEFF 10.0   
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.990E+00eV kf=1.994E+00 Vint=-1.742E+01eV Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01186    100.00     12.00     2   2.5323
#           2       0.01638     22.99      6.00     2   3.5812
#           3       0.01119     10.61     48.00     3   3.7984
#           4       0.01433      7.52     48.00     3   4.3229
#           5       0.01536     55.07     24.00     2   4.3860
#           6       0.01453     11.25     48.00     3   4.7253
#           7       0.01447     17.45     96.00     3   4.7253
#           8       0.01475     18.67     12.00     2   5.0645
#           9       0.01531      8.74     12.00     3   5.0646
#          10       0.01475     39.86     24.00     3   5.0645
#          11       0.01531      9.74     12.00     4   5.0646
#          12       0.02372      4.05     12.00     4   5.0646
#          14       0.01475     31.90     12.00     4   5.0645
#          16       0.01555     27.24     24.00     2   5.6623
#          17       0.01645      8.94     48.00     3   5.8879
#          18       0.01554      5.83     48.00     3   5.8879
#          19       0.01562      6.34     48.00     3   5.8879
#          20       0.01456      4.31     96.00     3   5.9914
#          21       0.01476      4.97     96.00     3   5.9914
#          22       0.01476      4.66     96.00     4   5.9914
#          23       0.01456      4.81     96.00     4   5.9914
#          25       0.01504      6.95      8.00     2   6.2028
#          26       0.01511      5.01     96.00     3   6.2903
#          27       0.01590      4.11     48.00     3   6.5605
#          29       0.01510     33.09     48.00     2   6.6998
#          30       0.01613     16.57     96.00     3   6.8090
#          31       0.01503      9.61     96.00     3   6.8090
#          32       0.01509      9.06     96.00     3   6.8090
#          34       0.02772      4.86     96.00     4   6.9183
#          35       0.01533      4.78     96.00     3   7.1483
#          41       0.01550      5.49     12.00     3   7.1623
#          43       0.01567      4.01     24.00     3   7.5968
#          44       0.01567      7.83     24.00     6   7.5968
#          47       0.01567      4.10     24.00     4   7.5968
#          48       0.01567      4.48     24.00     5   7.5968
#          49       0.01567      5.15     24.00     5   7.5968
#          50       0.01567      5.50     24.00     5   7.5968
#          51       0.01674      4.02     48.00     3   7.7820
#          52       0.01550      5.42     96.00     3   7.8957
#    39/  49 paths used
#  xsedge+50, used to normalize mu           2.4644E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9007.814     11.298   2.250  1.03461E+00  9.55923E-01  8.10915E-02
    9008.680     12.164   2.300  1.07358E+00  9.57622E-01  1.19823E-01
    9009.566     13.050   2.350  1.08741E+00  9.59320E-01  1.32715E-01
    9010.471     13.955   2.400  1.07345E+00  9.61018E-01  1.16802E-01
    9011.395     14.879   2.450  1.04730E+00  9.64317E-01  8.62531E-02
    9012.338     15.822   2.500  1.01120E+00  9.67615E-01  4.53259E-02
    9013.300     16.784   2.550  9.74407E-01  9.70913E-01  3.63459E-03
    9014.281     17.765   2.600  9.45385E-01  9.74211E-01 -3.00016E-02
    9015.281     18.765   2.650  9.22735E-01  9.75014E-01 -5.43994E-02
    9016.300     19.784   2.700  9.08874E-01  9.75816E-01 -6.96438E-02
    9017.338     20.823   2.750  9.04072E-01  9.76619E-01 -7.54590E-02
    9018.396     21.880   2.800  9.07241E-01  9.77422E-01 -7.29822E-02
    9019.472     22.956   2.850  9.13967E-01  9.78549E-01 -6.70289E-02
    9020.567     24.051   2.900  9.25064E-01  9.79677E-01 -5.65713E-02
    9021.682     25.166   2.950  9.38609E-01  9.80804E-01 -4.36232E-02
    9022.815     26.299   3.000  9.53123E-01  9.81931E-01 -2.97255E-02
    9023.968     27.452   3.050  9.67257E-01  9.83005E-01 -1.62084E-02
    9025.139     28.623   3.100  9.81799E-01  9.84078E-01 -2.34002E-03
    9026.330     29.814   3.150  9.95979E-01  9.85152E-01  1.10893E-02
    9027.540     31.024   3.200  1.00867E+00  9.86225E-01  2.29288E-02
    9028.768     32.252   3.250  1.02188E+00  9.87490E-01  3.50479E-02
    9030.016     33.500   3.300  1.03228E+00  9.88754E-01  4.42365E-02
    9031.283     34.767   3.350  1.03782E+00  9.90019E-01  4.84611E-02
    9032.569     36.053   3.400  1.03714E+00  9.91284E-01  4.63653E-02
    9033.874     37.358   3.450  1.03274E+00  9.92632E-01  4.04553E-02
    9035.198     38.682   3.500  1.02186E+00  9.93980E-01  2.80458E-02
    9036.541     40.025   3.550  1.00612E+00  9.95328E-01  1.08315E-02
    9037.903     41.387   3.600  9.88217E-01  9.96676E-01 -8.46784E-03
    9039.284     42.768   3.650  9.71129E-01  9.98021E-01 -2.68579E-02
    9040.684     44.168   3.700  9.56894E-01  9.99367E-01 -4.23222E-02
    9042.103     45.587   3.750  9.47700E-01  1.00071E+00 -5.27042E-02
    9043.542     47.026   3.800  9.44530E-01  1.00206E+00 -5.70642E-02
    9044.999     48.483   3.850  9.46916E-01  1.00327E+00 -5.57922E-02
    9046.475     49.959   3.900  9.53882E-01  1.00449E+00 -5.00007E-02
    9047.971     51.455   3.950  9.63471E-01  1.00571E+00 -4.16462E-02
    9049.485     52.969   4.000  9.73646E-01  1.00692E+00 -3.27477E-02
    9051.019     54.503   4.050  9.82984E-01  1.00787E+00 -2.44575E-02
    9052.571     56.055   4.100  9.90322E-01  1.00882E+00 -1.81532E-02
    9054.143     57.627   4.150  9.95467E-01  1.00977E+00 -1.40155E-02
    9055.734     59.218   4.200  9.98857E-01  1.01072E+00 -1.16064E-02
    9057.343     60.827   4.250  1.00148E+00  1.01138E+00 -9.67502E-03
    9058.972     62.456   4.300  1.00415E+00  1.01204E+00 -7.71025E-03
    9060.620     64.104   4.350  1.00755E+00  1.01270E+00 -5.03185E-03
    9062.287     65.771   4.400  1.01218E+00  1.01336E+00 -1.15754E-03
    9063.973     67.457   4.450  1.01800E+00  1.01360E+00  4.29637E-03
    9065.678     69.162   4.500  1.02517E+00  1.01383E+00  1.10542E-02
    9067.402     70.886   4.550  1.03371E+00  1.01406E+00  1.91409E-02
    9069.145     72.629   4.600  1.04354E+00  1.01429E+00  2.84800E-02
    9070.907     74.391   4.650  1.05329E+00  1.01411E+00  3.81561E-02
    9072.688     76.172   4.700  1.06292E+00  1.01393E+00  4.77071E-02
    9074.488     77.972   4.750  1.07122E+00  1.01375E+00  5.59742E-02
    9076.308     79.792   4.800  1.07665E+00  1.01357E+00  6.14419E-02
    9078.146     81.630   4.850  1.07718E+00  1.01320E+00  6.23474E-02
    9080.003     83.487   4.900  1.07258E+00  1.01283E+00  5.82590E-02
    9081.880     85.364   4.950  1.06284E+00  1.01246E+00  4.91493E-02
    9083.775     87.259   5.000  1.04901E+00  1.01209E+00  3.60364E-02
    9085.690     89.174   5.050  1.03275E+00  1.01138E+00  2.08697E-02
    9087.623     91.107   5.100  1.01674E+00  1.01067E+00  5.93207E-03
    9089.576     93.060   5.150  1.00286E+00  1.00997E+00 -6.95554E-03
    9091.547     95.032   5.200  9.92029E-01  1.00926E+00 -1.68622E-02
    9093.538     97.022   5.250  9.83990E-01  1.00841E+00 -2.39066E-02
    9095.548     99.032   5.300  9.77637E-01  1.00755E+00 -2.93080E-02
    9097.577    101.061   5.350  9.71528E-01  1.00669E+00 -3.44763E-02
    9099.625    103.109   5.400  9.64635E-01  1.00584E+00 -4.04206E-02
    9101.692    105.176   5.450  9.57119E-01  1.00514E+00 -4.71456E-02
    9103.777    107.262   5.500  9.49731E-01  1.00445E+00 -5.37524E-02
    9105.883    109.367   5.550  9.44137E-01  1.00376E+00 -5.86056E-02
    9108.007    111.491   5.600  9.42061E-01  1.00306E+00 -6.00050E-02
    9110.150    113.634   5.650  9.44812E-01  1.00240E+00 -5.66736E-02
    9112.312    115.796   5.700  9.52268E-01  1.00173E+00 -4.87048E-02
    9114.493    117.977   5.750  9.63451E-01  1.00106E+00 -3.70561E-02
    9116.693    120.177   5.800  9.76687E-01  1.00040E+00 -2.33706E-02
    9118.913    122.397   5.850  9.90187E-01  9.99806E-01 -9.48594E-03
    9121.151    124.635   5.900  1.00239E+00  9.99216E-01  3.13095E-03
    9123.408    126.892   5.950  1.01251E+00  9.98627E-01  1.37006E-02
    9125.685    129.169   6.000  1.02043E+00  9.98037E-01  2.21082E-02
    9127.980    131.464   6.050  1.02689E+00  9.97746E-01  2.87756E-02
    9130.295    133.779   6.100  1.03217E+00  9.97455E-01  3.42927E-02
    9132.629    136.113   6.150  1.03686E+00  9.97164E-01  3.92182E-02
    9134.981    138.465   6.200  1.04134E+00  9.96874E-01  4.39422E-02
    9137.353    140.837   6.250  1.04573E+00  9.96583E-01  4.85803E-02
    9139.744    143.228   6.300  1.04978E+00  9.96292E-01  5.28769E-02
    9142.154    145.638   6.350  1.05276E+00  9.96001E-01  5.61276E-02
    9144.582    148.066   6.400  1.05352E+00  9.95710E-01  5.71819E-02
    9147.030    150.514   6.450  1.05062E+00  9.95420E-01  5.46078E-02
    9149.497    152.981   6.500  1.04268E+00  9.95129E-01  4.70574E-02
    9151.983    155.467   6.550  1.02864E+00  9.94837E-01  3.34617E-02
    9154.488    157.972   6.600  1.00909E+00  9.94545E-01  1.44008E-02
    9157.012    160.497   6.650  9.85925E-01  9.94253E-01 -8.25119E-03
    9159.556    163.040   6.700  9.62267E-01  9.93961E-01 -3.14164E-02
    9162.118    165.602   6.750  9.41759E-01  9.93669E-01 -5.14770E-02
    9164.699    168.183   6.800  9.27661E-01  9.93377E-01 -6.51958E-02
    9167.299    170.784   6.850  9.21971E-01  9.93085E-01 -7.05809E-02
    9169.919    173.403   6.900  9.24928E-01  9.92793E-01 -6.73859E-02
    9172.557    176.041   6.950  9.35049E-01  9.92501E-01 -5.70708E-02
    9175.215    178.699   7.000  9.49682E-01  9.92209E-01 -4.22625E-02
    9177.891    181.375   7.050  9.65473E-01  9.91507E-01 -2.58995E-02
    9180.587    184.071   7.100  9.80129E-01  9.90806E-01 -1.06325E-02
    9183.301    186.785   7.150  9.91921E-01  9.90104E-01  1.81110E-03
    9186.035    189.519   7.200  1.00005E+00  9.89402E-01  1.06284E-02
    9188.788    192.272   7.250  1.00442E+00  9.88701E-01  1.56984E-02
    9191.560    195.044   7.300  1.00528E+00  9.87999E-01  1.72829E-02
    9194.350    197.834   7.350  1.00315E+00  9.87297E-01  1.58665E-02
    9197.160    200.644   7.400  9.98764E-01  9.86595E-01  1.21936E-02
    9199.989    203.473   7.450  9.93267E-01  9.85894E-01  7.39690E-03
    9202.837    206.321   7.500  9.88200E-01  9.85192E-01  3.02085E-03
    9205.704    209.188   7.550  9.84904E-01  9.84038E-01  8.71616E-04
    9208.590    212.074   7.600  9.85159E-01  9.82883E-01  2.29210E-03
    9211.495    214.979   7.650  9.89383E-01  9.81729E-01  7.72158E-03
    9214.419    217.903   7.700  9.96644E-01  9.80575E-01  1.62369E-02
    9217.363    220.847   7.750  1.00474E+00  9.79420E-01  2.56288E-02
    9220.325    223.809   7.800  1.01084E+00  9.78266E-01  3.30168E-02
    9223.306    226.790   7.850  1.01239E+00  9.77112E-01  3.58125E-02
    9226.307    229.791   7.900  1.00808E+00  9.75957E-01  3.26576E-02
    9229.326    232.810   7.950  9.98313E-01  9.74803E-01  2.39422E-02
    9232.364    235.849   8.000  9.85093E-01  9.73649E-01  1.16726E-02
    9235.422    238.906   8.050  9.71269E-01  9.72519E-01 -1.27709E-03
    9238.499    241.983   8.100  9.59448E-01  9.71390E-01 -1.22157E-02
    9241.594    245.078   8.150  9.51289E-01  9.70260E-01 -1.94337E-02
    9244.709    248.193   8.200  9.47031E-01  9.69131E-01 -2.26708E-02
    9247.843    251.327   8.250  9.45708E-01  9.68001E-01 -2.29028E-02
    9250.995    254.479   8.300  9.45818E-01  9.66872E-01 -2.16602E-02
    9254.167    257.651   8.350  9.46105E-01  9.65743E-01 -2.02326E-02
    9257.358    260.842   8.400  9.46069E-01  9.64613E-01 -1.91336E-02
    9260.568    264.052   8.450  9.46018E-01  9.63484E-01 -1.80467E-02
    9263.797    267.281   8.500  9.46682E-01  9.62354E-01 -1.62165E-02
