# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
# FMS rfms= 7.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   8996.68      0.413334E-11  0.481285E-11 -0.679519E-12  0.847558E-13  0.109497E-34 -0.239022E-36 -0.927322E-35  0.396382E-11  0.677085E-35  0.189326E-36  0.554833E-35  0.847558E-13
   8997.48      0.435765E-11  0.487709E-11 -0.519436E-12  0.893400E-13  0.428533E-35 -0.466503E-37  0.952113E-35  0.417897E-11  0.117549E-35  0.589943E-37 -0.105794E-35  0.893400E-13
   8998.32      0.482139E-11  0.493281E-11 -0.111417E-12  0.988294E-13  0.234351E-34 -0.224630E-36 -0.138440E-34  0.462373E-11  0.479602E-35 -0.248141E-36 -0.143410E-35  0.988294E-13
   8999.20      0.558435E-11  0.498037E-11  0.603977E-12  0.114447E-12 -0.130479E-34  0.259592E-36 -0.189857E-34  0.535545E-11  0.176794E-34  0.146850E-36  0.686489E-35  0.114447E-12
   9000.11      0.633587E-11  0.501987E-11  0.131601E-11  0.129823E-12  0.203755E-34  0.232772E-36 -0.209084E-34  0.607623E-11  0.362052E-35 -0.209477E-36 -0.554833E-35  0.129823E-12
   9001.07      0.661878E-11  0.505161E-11  0.156716E-11  0.135592E-12  0.888554E-35  0.316918E-37 -0.119441E-35  0.634759E-11 -0.601853E-35 -0.132217E-36 -0.126013E-34  0.135592E-12
   9002.06      0.637997E-11  0.507621E-11  0.130377E-11  0.130671E-12  0.307075E-34  0.172351E-36 -0.639855E-35  0.611863E-11 -0.808740E-35  0.588251E-36 -0.811091E-36  0.130671E-12
   9003.08      0.585761E-11  0.509394E-11  0.763671E-12  0.119946E-12 -0.668217E-36 -0.214424E-36 -0.764489E-35  0.561772E-11 -0.300927E-35  0.528618E-36 -0.357350E-35  0.119946E-12
   9004.15      0.535795E-11  0.510551E-11  0.252440E-12  0.109689E-12  0.225984E-35  0.203836E-36  0.565480E-35  0.513858E-11 -0.752316E-35  0.114222E-37 -0.846356E-35  0.109689E-12
   9005.25      0.515488E-11  0.511143E-11  0.434534E-13  0.105507E-12  0.708829E-35 -0.314274E-37  0.193984E-35  0.494387E-11  0.105324E-34 -0.268646E-36  0.300927E-35  0.105507E-12
   9006.39      0.532212E-11  0.511028E-11  0.211835E-12  0.108903E-12  0.105995E-34  0.979427E-37  0.339726E-35  0.510431E-11  0.818144E-35 -0.155930E-36  0.235099E-35  0.108903E-12
   9007.56      0.566576E-11  0.509770E-11  0.568064E-12  0.115905E-12  0.244385E-34  0.129829E-36 -0.162658E-34  0.543395E-11  0.404370E-35 -0.985027E-37  0.103444E-34  0.115905E-12
   9008.78      0.588345E-11  0.507744E-11  0.806011E-12  0.120326E-12  0.941963E-35 -0.885774E-38 -0.181335E-34  0.564280E-11 -0.423178E-35 -0.561397E-37  0.329138E-35  0.120326E-12
   9010.03      0.586788E-11  0.508089E-11  0.786997E-12  0.119975E-12 -0.918370E-35 -0.210119E-36 -0.108388E-34  0.562793E-11 -0.620661E-35 -0.686163E-37 -0.347946E-35  0.119975E-12
   9011.32      0.568122E-11  0.513010E-11  0.551127E-12  0.116127E-12  0.889536E-35 -0.134700E-37  0.200829E-35  0.544897E-11  0.432582E-35  0.262068E-37 -0.479602E-35  0.116127E-12
   9012.64      0.541226E-11  0.517111E-11  0.241149E-12  0.110597E-12  0.634828E-36 -0.476888E-36  0.225520E-35  0.519106E-11  0.526621E-35 -0.493051E-36 -0.277417E-35  0.110597E-12
   9014.00      0.512998E-11  0.519444E-11 -0.644616E-13  0.104798E-12  0.109594E-34 -0.320226E-36 -0.142628E-34  0.492038E-11  0.103444E-34 -0.721879E-37 -0.733508E-35  0.104798E-12
   9015.40      0.489671E-11  0.520836E-11 -0.311646E-12  0.100002E-12  0.602610E-35  0.666628E-37 -0.227417E-35  0.469671E-11  0.733508E-35  0.335039E-37  0.978011E-35  0.100002E-12
   9016.84      0.476126E-11  0.521900E-11 -0.457741E-12  0.972057E-13 -0.124715E-35 -0.108633E-36 -0.398168E-35  0.456685E-11 -0.489006E-35  0.413924E-36  0.225695E-35  0.972057E-13
   9018.32      0.473109E-11  0.522394E-11 -0.492849E-12  0.965588E-13  0.203669E-35 -0.270395E-37 -0.114344E-35  0.453797E-11 -0.441986E-35  0.136460E-36 -0.630065E-35  0.965588E-13
   9019.83      0.479330E-11  0.522743E-11 -0.434130E-12  0.977965E-13 -0.587539E-35 -0.356987E-37 -0.108763E-34  0.459771E-11 -0.451390E-35 -0.731068E-39 -0.846356E-35  0.977965E-13
   9021.38      0.492590E-11  0.522812E-11 -0.302227E-12  0.100468E-12 -0.218423E-35 -0.123521E-36 -0.433950E-35  0.472496E-11 -0.253907E-35  0.198647E-36  0.202185E-35  0.100468E-12
   9022.97      0.509499E-11  0.523252E-11 -0.137532E-12  0.103881E-12  0.289534E-35 -0.137796E-36 -0.518323E-36  0.488723E-11  0.630065E-35 -0.517595E-36 -0.620661E-35  0.103881E-12
   9024.59      0.525407E-11  0.523504E-11  0.190360E-13  0.107087E-12  0.175173E-35  0.138974E-36 -0.109589E-35  0.503990E-11  0.352648E-35 -0.144367E-36 -0.818144E-35  0.107087E-12
   9026.25      0.539382E-11  0.523816E-11  0.155663E-12  0.109896E-12  0.239965E-35  0.202185E-36 -0.759777E-35  0.517403E-11  0.432582E-35  0.359656E-37 -0.115198E-35  0.109896E-12
   9027.95      0.551929E-11  0.523481E-11  0.284475E-12  0.112411E-12 -0.128075E-35  0.937788E-38 -0.458371E-35  0.529446E-11 -0.103444E-34  0.127078E-36 -0.282119E-35  0.112411E-12
