# Loss function from file ../../../EpsInv/opconsKK.dat located in directory
# /home/hebhop/Research/SE_Runs/Cu/Feff/FMS/NewFEFF90
#
# Header from ../../../EpsInv/opconsKK.dat
###############################################################################################
# name:     copper
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  30  5.8000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
###############################################################################################
#
# omega	-Im[eps**{-1}]
0.259201E+02 0.659032E+00
0.262589E+02 0.668667E+00
0.266004E+02 0.670286E+00
0.269446E+02 0.662551E+00
0.272915E+02 0.650445E+00
0.276412E+02 0.635744E+00
0.279936E+02 0.618252E+00
0.283487E+02 0.600926E+00
0.287065E+02 0.583039E+00
0.290671E+02 0.566039E+00
0.294304E+02 0.550414E+00
0.297963E+02 0.534990E+00
0.301651E+02 0.521600E+00
0.305365E+02 0.509333E+00
0.309107E+02 0.497992E+00
0.312875E+02 0.488002E+00
0.316671E+02 0.478678E+00
0.320494E+02 0.470358E+00
0.324345E+02 0.462819E+00
0.328223E+02 0.455733E+00
0.332127E+02 0.449482E+00
0.336059E+02 0.443705E+00
0.340019E+02 0.438407E+00
0.344005E+02 0.433646E+00
0.348019E+02 0.429213E+00
0.352060E+02 0.425171E+00
0.356128E+02 0.421440E+00
0.360223E+02 0.417940E+00
0.364346E+02 0.414598E+00
0.368495E+02 0.411405E+00
0.372672E+02 0.408313E+00
0.376876E+02 0.405283E+00
0.381108E+02 0.402307E+00
0.385366E+02 0.399444E+00
0.389652E+02 0.396642E+00
0.393965E+02 0.393916E+00
0.398305E+02 0.391403E+00
0.402673E+02 0.388930E+00
0.407067E+02 0.386668E+00
0.411489E+02 0.384617E+00
0.415938E+02 0.382578E+00
0.420415E+02 0.380937E+00
0.424918E+02 0.379444E+00
0.429449E+02 0.378089E+00
0.434007E+02 0.377029E+00
0.438592E+02 0.376080E+00
0.443204E+02 0.375299E+00
0.447844E+02 0.374656E+00
0.452510E+02 0.374108E+00
0.457204E+02 0.373561E+00
0.461926E+02 0.373070E+00
0.466674E+02 0.372550E+00
0.471449E+02 0.371866E+00
0.476252E+02 0.371213E+00
0.481082E+02 0.370272E+00
0.485939E+02 0.369144E+00
0.490824E+02 0.368003E+00
0.495736E+02 0.366335E+00
0.500674E+02 0.364508E+00
0.505641E+02 0.362461E+00
0.510634E+02 0.360094E+00
0.515654E+02 0.357604E+00
0.520702E+02 0.354923E+00
0.525777E+02 0.352107E+00
0.530879E+02 0.349216E+00
0.536008E+02 0.346360E+00
0.541165E+02 0.343487E+00
0.546349E+02 0.340615E+00
0.551560E+02 0.337723E+00
0.556798E+02 0.334753E+00
0.562063E+02 0.331970E+00
0.567356E+02 0.329252E+00
