# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    0.000    1.000
# Collection and convergence semiangle:      1.100      0.300   ; # points:   100 x 1
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.5000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=8.676E-02 H-L exch Vi= 4.000E-01 Vr= 1.000E+00                                           
# FMS rfms= 6.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   280.385      0.729830E-06  0.176539E-05 -0.103556E-05  0.409461E-07  0.134293E-27  0.253115E-16  0.246941E-27  0.409275E-07  0.590878E-31  0.359425E-17  0.137910E-31  0.647957E-06
   280.718      0.587456E-06  0.170181E-05 -0.111435E-05  0.402735E-07 -0.170384E-26  0.723321E-17 -0.136420E-26  0.403774E-07 -0.500632E-31 -0.113295E-16 -0.847207E-32  0.506805E-06
   281.070      0.514088E-06  0.163816E-05 -0.112407E-05  0.405112E-07 -0.655657E-27  0.188633E-16 -0.253240E-26  0.406151E-07  0.514238E-31 -0.227313E-17  0.742220E-31  0.432962E-06
   281.442      0.476828E-06  0.157529E-05 -0.109846E-05  0.421099E-07  0.327050E-26  0.219364E-17  0.318780E-26  0.418603E-07 -0.307312E-30 -0.351336E-16 -0.102044E-30  0.392858E-06
   281.832      0.470457E-06  0.151383E-05 -0.104338E-05  0.445482E-07 -0.609017E-26 -0.213185E-16 -0.369370E-26  0.448734E-07  0.195083E-30  0.212386E-16  0.491482E-30  0.381035E-06
   282.242      0.473068E-06  0.145424E-05 -0.981172E-06  0.476943E-07 -0.411773E-27  0.166766E-16 -0.617131E-27  0.477216E-07 -0.111599E-31  0.168630E-16  0.216474E-30  0.377652E-06
   282.671      0.474924E-06  0.139682E-05 -0.921899E-06  0.518890E-07  0.552326E-26 -0.159049E-16  0.101745E-25  0.515100E-07 -0.967856E-30 -0.368105E-16 -0.893124E-31  0.371525E-06
   283.118      0.491861E-06  0.134180E-05 -0.849942E-06  0.579896E-07 -0.346520E-26  0.325234E-16 -0.650616E-26  0.583756E-07  0.468466E-30  0.429601E-16  0.609755E-30  0.375496E-06
   283.585      0.495959E-06  0.128923E-05 -0.793269E-06  0.635575E-07 -0.248624E-26 -0.145882E-16 -0.465313E-26  0.637651E-07 -0.105908E-30 -0.225167E-16 -0.261228E-30  0.368636E-06
   284.071      0.515956E-06  0.123916E-05 -0.723206E-06  0.717196E-07  0.937873E-26  0.227826E-16  0.878707E-26  0.711475E-07  0.492907E-30  0.167948E-16  0.172687E-30  0.373089E-06
